NetRtg.Rk,Team,Conf,NetRtg,ORtg,ORtg.Rk,DRtg,DRtg.Rk,AdjT,AdjT.Rk,Luck,Luck.Rk,SOS.NetRtg,SOS.NetRtg.Rk,SOS.ORtg,SOS.ORtg.Rk,SOS.DRtg,SOS.DRtg.Rk,NCSOS.NetRtg,NCSOS.NetRk,Seed,W,L,WinPct
1,Kansas,B12,30.23,115.8,8,85.5,2,67.3,233,0.04,79,12.66,2,107.4,26,94.7,1,9.58,10,1,28,3,0.9032258064516129
2,Gonzaga,WCC,26.95,121.3,1,94.4,43,71.9,35,0.05,50,2.42,109,103.5,115,101.0,99,-2.09,245,1,31,2,0.9393939393939394
3,Baylor,B12,25.49,113.5,17,88.1,4,66.2,277,0.016,144,10.2,27,106.4,39,96.2,11,1.38,132,1,26,4,0.8666666666666667
4,Dayton,A10,24.93,119.1,2,94.1,38,67.6,220,0.002,180,2.74,105,104.1,103,101.3,105,-0.74,203,1,29,2,0.9354838709677419
5,Duke,ACC,24.62,115.7,9,91.1,12,72.0,34,-0.009,209,7.28,54,106.0,53,98.7,58,2.6,85,3,25,6,0.8064516129032258
6,San Diego St.,MWC,24.48,115.1,11,90.6,10,64.6,332,-0.008,204,2.98,101,105.3,76,102.3,136,-1.8,239,2,30,2,0.9375
7,Michigan St.,B10,24.03,115.2,10,91.2,13,69.1,130,-0.012,217,12.04,7,108.6,5,96.5,14,1.83,109,3,22,9,0.7096774193548387
8,Ohio St.,B10,22.23,114.3,13,92.0,19,66.2,280,-0.038,280,11.1,16,108.0,15,96.9,20,-1.31,225,5,21,10,0.6774193548387096
9,Louisville,ACC,21.36,114.5,12,93.1,30,67.1,242,-0.003,193,7.1,58,105.3,75,98.2,48,-1.09,216,4,24,7,0.7741935483870968
10,West Virginia,B12,21.26,108.3,67,87.1,3,69.4,112,-0.028,260,11.28,15,107.2,27,95.9,8,5.8,32,6,21,10,0.6774193548387096
11,Maryland,B10,21.12,113.5,18,92.4,22,67.0,245,0.037,87,11.35,13,107.9,16,96.6,15,-0.44,192,3,24,7,0.7741935483870968
12,Creighton,BE,20.93,118.2,3,97.3,78,68.3,178,0.072,23,10.72,21,107.9,18,97.2,22,2.69,81,2,24,7,0.7741935483870968
13,BYU,WCC,20.68,116.3,7,95.6,60,69.5,108,-0.028,259,6.06,74,106.0,49,100.0,86,7.4,20,5,24,8,0.75
14,Houston,Amer,20.39,112.7,22,92.3,21,65.7,300,-0.052,308,6.33,68,104.2,99,97.9,38,2.56,88,7,23,8,0.7419354838709677
15,Florida St.,ACC,20.22,111.7,32,91.5,15,69.9,89,0.065,37,7.96,48,106.3,44,98.4,53,1.22,140,2,26,5,0.8387096774193549
16,Michigan,B10,20.12,113.2,20,93.0,28,68.7,150,-0.048,301,12.79,1,110.2,1,97.4,27,2.0,105,6,19,12,0.6129032258064516
17,Oregon,P12,20.0,117.1,6,97.1,76,65.0,319,0.023,120,8.15,42,105.6,62,97.4,30,4.11,54,4,24,7,0.7741935483870968
18,Villanova,BE,19.98,113.9,15,94.0,36,66.2,275,0.082,16,10.88,17,108.2,10,97.3,25,4.22,51,2,24,7,0.7741935483870968
19,Arizona,P12,19.6,111.0,35,91.4,14,69.3,115,-0.077,327,7.72,50,106.5,38,98.8,62,2.41,92,7,21,11,0.65625
20,Seton Hall,BE,19.54,112.3,29,92.7,25,69.8,93,0.006,169,11.48,12,108.4,7,96.9,19,4.86,41,3,21,9,0.7
21,Texas Tech,B12,19.28,109.8,47,90.5,9,67.3,236,-0.113,346,8.74,37,106.0,51,97.3,24,-3.87,296,10,18,13,0.5806451612903226
22,Wisconsin,B10,18.95,110.8,40,91.9,17,63.7,342,0.031,102,11.74,10,108.7,2,96.9,21,1.61,120,4,21,10,0.6774193548387096
23,Iowa,B10,18.65,117.3,5,98.6,97,70.2,77,0.005,172,12.28,4,108.6,3,96.3,13,2.4,93,6,20,11,0.6451612903225806
25,Butler,BE,18.39,112.6,25,94.2,42,63.7,341,0.032,101,10.22,26,107.6,22,97.4,28,1.07,144,5,22,9,0.7096774193548387
26,Penn St.,B10,17.91,110.3,43,92.4,23,70.9,54,0.014,149,10.72,22,108.1,11,97.4,29,-4.2,304,6,21,10,0.6774193548387096
28,Rutgers,B10,17.72,107.9,72,90.2,6,67.4,231,-0.042,286,9.88,31,107.4,25,97.5,32,-4.44,309,9,20,11,0.6451612903225806
29,Kentucky,SEC,17.6,112.7,24,95.1,52,67.7,215,0.018,138,6.37,66,105.9,57,99.6,78,-0.87,207,4,25,6,0.8064516129032258
30,Illinois,B10,17.23,110.9,38,93.7,35,66.0,288,0.022,123,10.38,25,107.7,20,97.3,26,-5.83,333,7,21,10,0.6774193548387096
31,Marquette,BE,17.19,114.0,14,96.9,73,70.7,60,-0.046,293,10.78,20,107.6,21,96.9,18,2.13,100,9,18,12,0.6
32,Florida,SEC,16.79,112.5,27,95.7,61,64.9,326,-0.047,296,8.82,36,107.8,19,98.9,67,6.92,23,9,19,12,0.6129032258064516
33,Auburn,SEC,15.91,111.4,33,95.5,55,69.2,127,0.103,7,6.7,62,107.0,32,100.3,90,1.38,133,5,25,6,0.8064516129032258
34,Indiana,B10,15.73,108.5,65,92.7,26,67.9,206,0.016,143,10.71,23,108.3,8,97.6,35,-0.6,198,10,20,12,0.625
35,Colorado,P12,15.71,109.1,54,93.4,32,68.2,188,-0.01,213,7.42,52,105.5,66,98.0,43,2.77,78,8,21,11,0.65625
36,Oklahoma,B12,15.7,108.8,58,93.1,29,69.6,98,0.031,103,12.22,5,107.5,24,95.3,3,5.86,30,10,19,12,0.6129032258064516
37,LSU,SEC,15.62,118.1,4,102.4,179,70.0,84,-0.02,237,7.18,56,105.8,61,98.6,55,2.01,103,8,21,10,0.6774193548387096
