NetRtg.Rk,Team,Conf,NetRtg,ORtg,ORtg.Rk,DRtg,DRtg.Rk,AdjT,AdjT.Rk,Luck,Luck.Rk,SOS.NetRtg,SOS.NetRtg.Rk,SOS.ORtg,SOS.ORtg.Rk,SOS.DRtg,SOS.DRtg.Rk,NCSOS.NetRtg,NCSOS.NetRk,Seed,W,L,WinPct
1,North Carolina,ACC,31.37,121.0,3,89.6,4,72.4,8,-0.046,279,10.95,6,111.0,1,100.1,27,3.1,82,1,31,7,0.8157894736842105
2,Florida,SEC,30.81,122.8,1,92.0,13,65.8,162,0.028,110,8.73,33,109.1,33,100.3,37,-6.87,312,1,35,5,0.875
3,Ohio St.,B10,29.33,121.0,4,91.7,11,64.9,206,0.057,46,9.82,17,109.0,37,99.2,4,-1.71,191,1,35,4,0.8974358974358975
4,Georgetown,BE,28.48,122.0,2,93.5,21,59.4,327,0.006,163,10.41,10,109.7,18,99.3,5,-1.02,174,2,30,7,0.8108108108108109
5,Kansas,B12,27.81,115.3,29,87.5,1,68.7,63,0.031,102,6.86,59,108.1,58,101.2,64,-0.93,170,1,33,5,0.868421052631579
6,UCLA,P10,27.15,115.4,27,88.3,2,63.7,251,0.019,132,11.08,4,111.0,3,99.9,20,5.93,39,2,30,6,0.8333333333333334
7,Texas A&M,B12,26.97,119.3,7,92.3,14,63.7,247,-0.047,281,5.38,78,106.7,87,101.4,67,-5.98,297,3,27,7,0.7941176470588235
8,Wisconsin,B10,25.45,115.6,25,90.1,8,63.8,243,0.034,91,7.78,47,108.1,55,100.3,35,-1.57,184,2,30,6,0.8333333333333334
9,Memphis,CUSA,24.81,115.4,28,90.6,10,68.4,68,0.03,104,2.93,106,105.3,130,102.4,97,3.41,76,2,33,4,0.8918918918918919
10,Duke,ACC,23.3,113.2,44,89.9,6,64.5,218,-0.074,314,11.3,3,110.7,4,99.4,6,3.88,68,6,22,11,0.6666666666666666
11,Pittsburgh,BE,22.9,118.1,10,95.2,33,62.2,298,0.033,93,9.54,22,109.6,19,100.1,25,0.72,137,3,29,8,0.7837837837837838
12,Maryland,ACC,22.42,112.4,53,90.0,7,71.4,17,-0.027,247,8.48,36,108.9,38,100.4,40,-3.07,231,4,25,9,0.7352941176470589
13,Kentucky,SEC,21.73,117.0,15,95.3,34,65.8,165,-0.029,254,13.23,1,111.0,2,97.8,1,8.21,25,8,22,12,0.6470588235294118
14,Indiana,B10,21.58,115.4,26,93.8,23,64.9,203,-0.058,298,9.96,14,108.5,43,98.5,3,1.51,111,7,21,11,0.65625
15,Butler,Horz,21.45,118.0,11,96.5,47,58.1,331,0.016,145,4.77,85,106.6,94,101.8,79,6.61,35,5,29,7,0.8055555555555556
16,Southern Illinois,MVC,21.03,109.8,84,88.8,3,61.0,312,0.017,138,10.19,12,110.2,11,100.0,22,7.3,30,4,29,7,0.8055555555555556
17,Michigan St.,B10,20.97,112.8,49,91.8,12,60.3,319,-0.036,265,9.07,28,109.2,27,100.2,28,-1.63,188,9,23,12,0.6571428571428571
18,Oregon,P10,20.76,118.3,8,97.6,54,66.0,158,0.031,100,7.19,55,108.0,59,100.8,53,-9.09,322,3,29,8,0.7837837837837838
19,Louisville,BE,20.35,113.5,40,93.1,18,64.2,229,-0.046,277,7.29,53,107.9,61,100.6,48,-3.61,244,6,24,10,0.7058823529411765
21,Villanova,BE,20.11,113.4,42,93.3,19,65.8,168,-0.036,266,11.02,5,110.5,7,99.5,9,2.82,86,9,22,11,0.6666666666666666
22,Notre Dame,BE,20.02,118.1,9,98.1,62,70.7,28,-0.018,223,4.03,92,105.9,107,101.9,85,-13.12,335,6,24,8,0.75
23,Georgia Tech,ACC,19.61,116.9,16,97.3,51,67.2,106,-0.067,309,9.63,21,109.5,21,99.9,19,-3.11,232,10,20,12,0.625
