NetRtg.Rk,Team,Conf,NetRtg,ORtg,ORtg.Rk,DRtg,DRtg.Rk,AdjT,AdjT.Rk,Luck,Luck.Rk,SOS.NetRtg,SOS.NetRtg.Rk,SOS.ORtg,SOS.ORtg.Rk,SOS.DRtg,SOS.DRtg.Rk,NCSOS.NetRtg,NCSOS.NetRk,Seed,W,L,WinPct
1,Kentucky,SEC,36.91,121.3,6,84.4,1,62.4,274,0.048,68,8.58,26,108.7,27,100.1,27,3.13,64,1,38,1,0.9743589743589743
2,Wisconsin,B10,33.72,129.0,1,95.2,35,58.7,345,0.015,146,11.03,4,109.8,9,98.8,7,5.3,29,1,36,4,0.9
3,Duke,ACC,32.48,124.5,3,92.0,11,65.8,104,0.067,38,11.17,3,110.7,2,99.5,17,1.31,117,1,35,4,0.8974358974358975
4,Arizona,P12,32.36,119.9,7,87.5,3,65.8,102,-0.033,258,7.37,45,108.3,38,100.9,49,0.09,157,2,34,4,0.8947368421052632
5,Villanova,BE,30.65,122.7,4,92.0,12,64.2,183,0.031,104,7.67,41,108.2,42,100.6,43,0.23,152,1,33,3,0.9166666666666666
6,Virginia,ACC,30.06,115.6,21,85.5,2,58.0,349,0.023,128,8.21,32,108.5,31,100.3,37,0.46,142,2,30,4,0.8823529411764706
7,Gonzaga,WCC,27.78,121.7,5,93.9,16,64.7,154,0.018,138,4.37,80,107.3,67,102.9,103,3.0,66,2,35,3,0.9210526315789473
8,Utah,P12,27.24,116.4,17,89.2,6,60.5,328,-0.054,301,8.19,33,108.8,26,100.6,44,0.6,138,5,26,9,0.7428571428571429
9,Notre Dame,ACC,24.96,125.4,2,100.4,99,63.4,226,0.062,47,7.59,42,107.7,57,100.1,26,-11.62,347,3,32,6,0.8421052631578947
10,North Carolina,ACC,23.85,119.1,11,95.3,37,69.2,16,-0.026,244,12.76,2,111.1,1,98.3,3,7.64,15,4,26,12,0.6842105263157895
11,Oklahoma,B12,22.8,112.5,46,89.7,7,66.7,63,-0.045,285,11.0,5,110.2,8,99.2,9,1.05,123,3,24,11,0.6857142857142857
12,Kansas,B12,22.72,114.5,27,91.8,9,67.0,56,0.07,33,13.17,1,110.6,3,97.4,1,9.57,8,2,27,9,0.75
13,Wichita St.,MVC,22.21,115.8,19,93.6,15,62.3,279,0.022,131,3.24,91,105.5,103,102.3,90,3.44,58,7,30,5,0.8571428571428571
14,Baylor,B12,22.14,116.6,13,94.5,23,61.5,307,-0.035,268,10.22,13,108.9,22,98.7,6,-0.51,172,3,24,10,0.7058823529411765
15,Michigan St.,B10,21.72,116.6,14,94.9,27,63.1,248,-0.017,222,10.49,7,110.3,7,99.8,20,-0.88,184,7,27,12,0.6923076923076923
16,Iowa St.,B12,21.49,119.0,12,97.5,59,69.6,10,0.005,173,10.59,6,109.0,18,98.5,4,-1.18,192,3,25,9,0.7352941176470589
17,Louisville,ACC,21.21,110.2,66,88.9,4,64.6,155,0.027,115,9.69,18,109.5,11,99.8,19,-2.36,228,4,27,9,0.75
18,Northern Iowa,MVC,20.98,116.3,18,95.3,36,58.2,348,0.018,140,1.42,116,104.4,137,103.0,104,0.61,137,5,31,4,0.8857142857142857
19,Ohio St.,B10,20.75,115.6,22,94.8,25,65.2,132,-0.043,280,6.76,55,108.1,45,101.4,64,-7.41,334,10,24,11,0.6857142857142857
20,Butler,BE,20.09,110.2,64,90.1,8,63.2,243,-0.023,233,9.72,17,110.6,4,100.9,48,0.69,133,6,23,11,0.6764705882352942
21,Xavier,BE,19.49,116.6,15,97.1,56,65.0,137,-0.062,317,10.29,10,109.5,12,99.2,10,2.07,94,6,23,14,0.6216216216216216
22,Georgetown,BE,19.13,114.3,29,95.1,33,64.0,192,-0.0,183,10.23,12,110.5,5,100.3,33,3.24,63,4,22,11,0.6666666666666666
23,Iowa,B10,19.02,114.2,30,95.1,34,63.7,209,-0.007,203,8.58,25,108.9,21,100.4,38,-1.58,205,7,22,12,0.6470588235294118
24,Texas,B12,18.94,112.4,47,93.4,14,62.0,290,-0.079,329,9.52,20,108.3,33,98.8,8,-2.47,234,11,20,14,0.5882352941176471
25,West Virginia,B12,17.64,112.6,43,94.9,29,67.9,28,0.087,15,9.56,19,108.9,24,99.3,13,-2.65,243,5,25,10,0.7142857142857143
26,SMU,Amer,17.51,113.1,37,95.6,40,63.1,250,-0.004,193,2.52,99,105.3,109,102.8,100,0.99,127,6,27,7,0.7941176470588235
27,Providence,BE,16.72,112.6,42,95.9,42,65.2,129,0.038,85,10.26,11,109.7,10,99.4,15,2.18,93,6,22,12,0.6470588235294118
28,BYU,WCC,16.69,119.4,10,102.7,139,70.4,5,-0.055,307,3.96,83,107.0,74,103.0,105,3.78,51,11,25,10,0.7142857142857143
29,Arkansas,SEC,16.44,114.7,26,98.3,67,69.3,13,0.045,72,6.09,64,107.2,71,101.1,59,-3.44,263,5,27,9,0.75
30,VCU,A10,16.27,111.1,58,94.9,26,66.5,70,0.043,75,6.65,57,107.9,50,101.2,63,8.77,12,7,26,10,0.7222222222222222
31,San Diego St.,MWC,15.95,104.9,162,89.0,5,60.4,333,0.026,118,3.63,85,106.1,86,102.5,96,3.5,57,8,27,9,0.75
32,N.C. State,ACC,15.93,114.9,25,98.9,76,64.1,188,-0.003,191,9.84,16,109.3,15,99.5,16,-0.65,179,8,22,14,0.6111111111111112
33,Maryland,B10,15.68,111.3,56,95.7,41,63.9,199,0.127,2,7.15,48,108.3,37,101.1,57,-3.33,258,4,28,7,0.8
35,Georgia,SEC,15.09,109.6,70,94.5,22,64.1,184,0.001,181,8.73,23,108.6,30,99.9,22,1.41,116,10,21,12,0.6363636363636364
36,Davidson,A10,15.0,119.7,9,104.7,176,66.7,62,0.056,53,3.16,93,105.3,108,102.2,87,-3.78,274,10,24,8,0.75
38,Oklahoma St.,B12,14.92,111.8,51,96.8,53,63.3,238,-0.045,287,10.42,8,108.2,41,97.8,2,-1.65,208,9,18,14,0.5625
40,UCLA,P12,14.65,112.9,40,98.2,66,65.8,101,0.032,100,8.4,27,107.9,49,99.5,18,2.63,82,11,22,14,0.6111111111111112
42,Dayton,A10,14.24,109.2,75,95.0,30,63.4,229,0.022,132,3.39,88,105.4,107,102.0,81,0.07,158,11,27,9,0.75
43,Cincinnati,Amer,14.15,108.2,94,94.0,17,59.8,339,-0.016,220,3.39,87,104.9,114,101.5,68,1.69,108,8,23,11,0.6764705882352942
44,Purdue,B10,13.96,110.9,61,97.0,54,64.3,173,-0.006,201,7.45,44,109.0,17,101.6,75,-2.75,245,9,21,13,0.6176470588235294
45,Oregon,P12,13.88,115.2,23,101.3,114,66.6,68,0.119,5,7.28,46,108.4,32,101.1,53,-2.34,227,8,26,10,0.7222222222222222
46,Mississippi,SEC,13.88,114.5,28,100.6,104,66.2,78,-0.033,259,7.1,49,107.3,68,100.2,31,-1.19,193,11,21,13,0.6176470588235294
47,Boise St.,MWC,13.85,111.9,50,98.1,63,62.8,259,0.009,165,0.94,121,104.8,116,103.9,133,-0.31,166,11,25,9,0.7352941176470589
48,Indiana,B10,13.83,119.8,8,106.0,200,66.6,69,-0.044,284,6.92,51,107.8,52,100.9,50,-5.96,322,10,20,14,0.5882352941176471
49,LSU,SEC,13.76,108.9,81,95.1,32,69.3,12,-0.043,283,5.09,74,106.2,83,101.2,60,-4.77,301,9,22,11,0.6666666666666666
50,St. John's,BE,13.7,110.7,62,97.0,55,66.7,61,0.05,65,8.72,24,109.0,20,100.3,36,-1.5,204,9,21,12,0.6363636363636364
51,Stephen F. Austin,Slnd,13.64,113.9,32,100.3,98,65.4,114,0.02,134,-5.56,299,102.2,260,107.7,306,0.63,135,12,29,5,0.8529411764705882
58,Buffalo,MAC,11.87,111.3,57,99.4,87,68.3,23,0.001,182,1.83,110,106.0,90,104.2,149,0.81,130,12,23,10,0.696969696969697
64,Valparaiso,Horz,11.13,107.4,112,96.3,45,62.3,278,0.053,60,-2.06,191,104.2,153,106.3,242,-3.69,271,13,28,6,0.8235294117647058
68,Georgia St.,SB,10.32,111.6,52,101.3,112,62.4,275,-0.003,192,-1.47,174,102.4,249,103.9,132,3.63,54,14,25,10,0.7142857142857143
75,Harvard,Ivy,9.23,104.8,165,95.6,39,61.1,317,0.091,13,-0.18,145,104.3,146,104.5,158,0.36,145,13,22,8,0.7333333333333333
91,UC Irvine,BW,7.09,106.3,129,99.2,82,63.4,227,-0.022,231,0.9,127,104.7,123,103.8,128,2.29,90,13,21,13,0.6176470588235294
96,Wofford,SC,6.72,105.2,158,98.5,70,60.5,331,0.122,3,-3.98,245,104.0,158,108.0,318,6.79,18,12,28,7,0.8
98,New Mexico St.,WAC,6.63,107.4,111,100.8,106,63.0,254,-0.042,277,-5.37,290,101.1,310,106.5,254,1.78,105,15,23,11,0.6764705882352942
109,Wyoming,MWC,5.67,104.8,164,99.1,80,59.1,343,0.083,21,-1.04,161,103.0,210,104.1,141,-10.31,343,12,25,10,0.7142857142857143
117,Northeastern,CAA,5.12,108.3,93,103.1,148,63.3,237,0.025,122,-1.29,168,104.5,132,105.7,226,1.8,104,14,23,12,0.6571428571428571
131,Albany,AE,3.29,107.2,116,103.9,162,60.8,323,0.054,56,-5.5,297,100.4,325,105.9,229,0.18,154,14,24,9,0.7272727272727273
133,Eastern Washington,BSky,3.25,112.9,39,109.6,283,68.2,24,0.067,40,-3.75,241,104.2,148,108.0,317,3.94,48,13,26,9,0.7428571428571429
