NetRtg.Rk,Team,Conf,NetRtg,ORtg,ORtg.Rk,DRtg,DRtg.Rk,AdjT,AdjT.Rk,Luck,Luck.Rk,SOS.NetRtg,SOS.NetRtg.Rk,SOS.ORtg,SOS.ORtg.Rk,SOS.DRtg,SOS.DRtg.Rk,NCSOS.NetRtg,NCSOS.NetRk,Seed,W,L,WinPct
1,Connecticut,BE,29.86,120.8,3,90.9,7,66.6,204,-0.056,304,10.39,17,109.7,29,99.3,14,-1.75,208,4,31,8,0.7948717948717948
2,Houston,Amer,27.72,118.1,11,90.4,5,63.5,339,0.023,122,4.56,89,107.2,95,102.6,81,-0.03,161,1,33,4,0.8918918918918919
3,UCLA,P12,27.29,115.2,21,88.0,2,66.1,235,-0.009,218,8.7,39,109.2,38,100.5,47,0.15,155,2,31,6,0.8378378378378378
4,Alabama,SEC,27.28,115.5,20,88.2,3,72.6,4,0.057,56,11.07,11,110.2,16,99.2,10,10.46,4,1,31,6,0.8378378378378378
5,Texas,B12,24.43,116.5,15,92.1,13,68.8,98,0.017,140,11.91,7,111.1,3,99.2,12,-0.76,183,2,29,9,0.7631578947368421
6,Tennessee,SEC,23.8,111.3,64,87.5,1,65.1,288,-0.063,317,8.69,40,109.2,40,100.5,46,2.76,86,4,25,11,0.6944444444444444
7,Purdue,B10,23.24,117.7,12,94.5,24,64.2,324,0.021,129,9.17,32,110.1,20,100.9,53,0.71,138,1,29,6,0.8285714285714286
8,Gonzaga,WCC,23.02,122.3,1,99.3,73,70.3,39,0.08,32,8.26,45,110.1,17,101.9,70,7.81,12,3,31,6,0.8378378378378378
9,Kansas,B12,22.85,114.6,25,91.8,11,69.2,75,0.082,28,13.38,1,111.0,5,97.6,2,6.59,21,1,28,8,0.7777777777777778
10,Marquette,BE,22.38,119.1,7,96.7,43,68.1,136,0.009,162,9.31,30,109.5,32,100.2,36,-1.15,193,2,29,7,0.8055555555555556
11,Arizona,P12,21.9,118.2,10,96.3,39,72.0,13,0.027,109,8.32,44,107.5,85,99.2,11,3.12,77,2,28,7,0.8
12,Creighton,BE,21.83,115.0,23,93.2,14,67.8,143,-0.068,325,11.15,10,111.0,4,99.8,26,5.97,27,6,24,13,0.6486486486486487
13,Saint Mary's,WCC,21.24,112.6,44,91.4,10,61.6,359,0.006,167,6.45,67,109.7,28,103.2,99,3.94,59,5,27,8,0.7714285714285715
14,San Diego St.,MWC,20.34,110.8,75,90.4,4,65.7,262,0.075,36,9.58,27,110.4,10,100.8,51,6.8,17,5,32,7,0.8205128205128205
15,Xavier,BE,19.95,118.5,8,98.6,64,70.5,33,0.005,175,10.42,16,110.3,13,99.9,27,3.4,70,3,27,10,0.7297297297297297
16,Baylor,B12,19.68,121.3,2,101.6,107,66.5,215,0.021,127,12.33,6,110.4,11,98.0,3,1.31,115,3,23,11,0.6764705882352942
17,Florida Atlantic,CUSA,19.38,115.1,22,95.7,34,67.6,158,0.056,57,2.65,109,106.2,109,103.6,105,-2.85,251,9,35,4,0.8974358974358975
18,Duke,ACC,19.35,113.2,40,93.9,16,64.9,298,0.051,64,7.65,51,109.7,27,102.1,74,1.77,102,5,27,9,0.75
19,West Virginia,B12,18.82,116.9,14,98.1,58,68.5,116,-0.068,324,12.45,5,110.5,8,98.1,4,2.18,92,9,19,15,0.5588235294117647
