NetRtg.Rk,Team,Conf,NetRtg,ORtg,ORtg.Rk,DRtg,DRtg.Rk,AdjT,AdjT.Rk,Luck,Luck.Rk,SOS.NetRtg,SOS.NetRtg.Rk,SOS.ORtg,SOS.ORtg.Rk,SOS.DRtg,SOS.DRtg.Rk,NCSOS.NetRtg,NCSOS.NetRk,Seed,W,L,WinPct
1,Louisville,Amer,30.41,118.9,7,88.5,5,67.2,60,-0.045,278,4.31,95,107.0,100,102.7,93,-4.65,295,4,31,6,0.8378378378378378
2,Arizona,P12,30.11,116.5,20,86.4,1,62.8,272,0.014,151,9.3,17,109.9,20,100.6,18,1.62,113,1,33,5,0.868421052631579
3,Florida,SEC,28.57,116.5,19,88.0,3,61.3,318,0.053,68,9.02,22,109.4,32,100.4,14,2.39,94,1,36,3,0.9230769230769231
4,Virginia,ACC,26.46,114.8,27,88.3,4,59.5,345,0.012,154,8.67,28,109.4,31,100.8,27,1.57,114,1,30,7,0.8108108108108109
5,Wisconsin,B10,25.89,122.0,4,96.1,35,62.4,286,0.019,133,11.44,3,110.2,13,98.8,2,3.33,68,2,30,8,0.7894736842105263
6,Wichita St.,MVC,25.36,117.8,17,92.4,11,63.5,243,-0.009,205,1.04,125,105.8,119,104.8,144,2.89,79,1,35,1,0.9722222222222222
7,Kansas,B12,24.6,119.3,6,94.7,22,66.6,83,-0.051,295,12.13,1,112.2,1,100.0,7,9.47,11,2,25,10,0.7142857142857143
8,Duke,ACC,24.25,124.7,1,100.4,86,64.6,179,-0.035,255,8.76,25,109.2,34,100.5,17,2.4,93,3,26,9,0.7428571428571429
9,Michigan St.,B10,23.92,118.6,13,94.7,21,64.4,188,-0.003,192,10.44,6,110.2,15,99.7,5,0.57,144,4,29,9,0.7631578947368421
10,Tennessee,SEC,23.69,117.9,15,94.2,19,61.6,313,-0.099,341,8.12,36,108.9,46,100.8,29,1.46,115,11,24,13,0.6486486486486487
11,Villanova,BE,23.68,116.3,21,92.6,12,66.0,103,0.075,30,7.47,49,110.1,18,102.6,90,2.61,87,2,29,5,0.8529411764705882
12,Michigan,B10,23.44,123.9,3,100.5,89,61.0,330,0.047,76,11.65,2,110.3,12,98.6,1,0.62,142,2,28,9,0.7567567567567568
13,Kentucky,SEC,22.55,118.3,14,95.8,32,64.0,217,-0.025,240,10.73,5,110.5,7,99.8,6,4.19,60,8,29,11,0.725
14,UCLA,P12,22.53,118.7,11,96.1,37,68.4,33,-0.019,224,7.63,43,109.1,39,101.5,58,-3.26,262,4,28,9,0.7567567567567568
15,Connecticut,Amer,22.13,113.6,39,91.5,10,63.2,254,0.08,23,9.43,13,109.7,24,100.3,11,0.91,134,7,32,8,0.8
16,Pittsburgh,ACC,21.89,116.9,18,95.0,25,62.2,295,-0.038,264,7.62,44,108.0,69,100.4,13,-3.66,275,9,26,10,0.7222222222222222
17,Creighton,BE,21.72,124.2,2,102.5,124,63.6,237,0.024,128,7.5,48,108.5,58,101.0,35,1.31,122,3,27,8,0.7714285714285715
18,Syracuse,ACC,21.62,114.6,28,93.0,13,59.6,344,0.016,141,7.23,55,109.4,33,102.2,74,-1.01,189,3,28,6,0.8235294117647058
19,Ohio St.,B10,21.3,109.3,103,88.0,2,64.0,218,-0.043,275,7.8,39,109.2,36,101.4,50,-3.36,267,6,25,10,0.7142857142857143
20,Iowa St.,B12,21.07,118.9,9,97.8,55,70.2,12,0.064,42,10.77,4,111.1,2,100.4,12,1.44,117,3,28,8,0.7777777777777778
21,Oklahoma St.,B12,20.98,115.9,22,95.0,24,67.2,59,-0.11,343,9.06,21,109.9,19,100.8,28,-1.15,194,9,21,13,0.6176470588235294
22,Iowa,B10,20.44,120.2,5,99.8,77,68.6,29,-0.116,347,8.35,32,108.6,55,100.2,10,-6.19,318,11,20,13,0.6060606060606061
23,San Diego St.,MWC,20.38,110.4,86,90.0,7,62.3,294,0.067,37,5.18,79,108.0,68,102.8,96,2.71,86,4,31,5,0.8611111111111112
24,Gonzaga,WCC,20.14,114.0,35,93.8,18,65.0,154,0.016,146,5.05,83,109.0,42,103.9,110,2.2,100,8,29,7,0.8055555555555556
25,VCU,A10,19.8,109.2,106,89.4,6,68.9,22,-0.058,308,5.45,77,107.4,88,102.0,66,1.33,118,5,26,9,0.7428571428571429
26,Baylor,B12,19.39,118.9,10,99.5,70,61.3,319,0.012,157,10.31,7,111.0,3,100.6,20,-0.36,171,6,26,12,0.6842105263157895
27,Cincinnati,Amer,19.24,109.7,98,90.4,9,61.1,328,0.036,97,4.72,92,107.3,93,102.6,88,-4.57,294,5,27,7,0.7941176470588235
28,Oregon,P12,19.02,118.9,8,99.9,79,67.5,50,-0.037,262,7.39,50,109.1,37,101.8,62,-1.18,197,7,24,10,0.7058823529411765
29,North Carolina,ACC,18.44,112.6,48,94.2,20,69.2,18,0.0,186,8.83,23,110.5,9,101.6,60,1.31,121,6,24,10,0.7058823529411765
30,Oklahoma,B12,17.9,117.9,16,100.0,82,69.6,17,-0.022,232,9.13,20,110.2,16,101.0,38,0.5,147,5,23,10,0.696969696969697
32,Harvard,Ivy,17.58,112.9,47,95.3,27,64.1,211,0.02,131,0.13,146,104.5,170,104.3,125,0.98,130,12,27,5,0.84375
33,New Mexico,MWC,17.15,113.5,41,96.3,39,64.4,191,0.032,106,4.83,88,107.7,78,102.9,97,3.24,69,7,27,7,0.7941176470588235
34,Stanford,P12,16.06,112.4,54,96.4,40,65.3,147,0.016,144,9.42,14,110.2,17,100.7,25,2.34,97,10,23,13,0.6388888888888888
35,Saint Louis,A10,15.72,105.7,168,90.0,8,65.6,124,0.04,88,5.04,85,107.2,96,102.2,75,-1.5,206,5,27,7,0.7941176470588235
36,Memphis,Amer,15.22,112.4,56,97.1,50,67.5,53,0.048,73,7.25,54,108.3,63,101.1,39,0.02,160,8,24,10,0.7058823529411765
39,Arizona St.,P12,14.82,111.2,67,96.4,41,67.4,58,0.003,180,7.5,47,108.6,53,101.1,41,-2.6,234,10,21,12,0.6363636363636364
41,Texas,B12,14.52,111.8,61,97.3,53,66.8,70,0.092,14,9.61,10,110.9,4,101.3,46,-1.74,213,7,24,11,0.6857142857142857
42,Dayton,A10,14.25,113.8,37,99.6,72,63.8,223,0.038,93,6.25,63,107.7,79,101.4,51,-0.57,178,11,26,11,0.7027027027027027
45,Kansas St.,B12,14.1,107.8,125,93.7,16,63.3,247,0.001,185,8.17,35,110.5,8,102.3,81,-4.06,285,9,20,13,0.6060606060606061
47,George Washington,A10,13.82,110.8,74,97.0,47,65.3,144,0.056,61,5.56,74,107.3,95,101.7,61,-0.08,162,9,24,9,0.7272727272727273
48,Providence,BE,13.81,114.6,30,100.8,94,62.9,264,0.051,69,8.35,31,109.2,35,100.8,32,0.81,139,11,23,12,0.6571428571428571
49,BYU,WCC,13.77,114.5,31,100.7,93,70.8,6,-0.004,194,6.59,60,109.6,26,103.0,98,8.43,17,10,23,12,0.6571428571428571
50,Massachusetts,A10,13.46,110.0,91,96.5,43,70.3,11,0.065,40,7.33,52,108.0,71,100.6,19,5.53,40,6,24,9,0.7272727272727273
52,Xavier,BE,13.11,112.9,46,99.8,76,64.2,202,0.017,139,7.89,37,109.1,38,101.2,44,0.41,149,12,21,13,0.6176470588235294
55,Saint Joseph's,A10,12.93,112.3,57,99.4,68,64.3,198,0.079,25,6.18,64,107.5,85,101.3,45,0.17,156,10,24,10,0.7058823529411765
56,Nebraska,B10,12.64,108.8,111,96.1,36,64.7,170,0.047,77,9.3,18,108.4,61,99.1,3,-1.95,217,11,19,13,0.59375
61,North Dakota St.,Sum,11.76,115.5,25,103.7,144,62.3,292,0.089,17,1.38,121,106.8,105,105.4,173,5.32,44,12,26,7,0.7878787878787878
62,N.C. State,ACC,11.6,114.0,34,102.4,121,64.7,172,0.065,39,7.77,40,108.4,60,100.7,21,-4.31,289,12,22,14,0.6111111111111112
67,Colorado,P12,11.2,107.7,129,96.5,42,64.8,167,0.12,3,8.74,26,109.5,27,100.8,26,1.71,110,8,23,12,0.6571428571428571
70,Stephen F. Austin,Slnd,10.83,112.3,58,101.5,105,61.2,323,0.073,33,-7.12,309,102.0,298,109.2,316,-4.19,286,12,32,3,0.9142857142857143
72,New Mexico St.,WAC,10.54,112.9,45,102.4,117,65.2,148,-0.03,246,-3.64,234,103.0,258,106.7,225,2.6,88,13,26,10,0.7222222222222222
74,Manhattan,MAAC,10.21,107.2,134,97.0,46,67.7,46,-0.008,202,-0.2,152,105.6,128,105.8,191,3.46,65,13,25,8,0.7575757575757576
82,Tulsa,CUSA,8.93,106.1,159,97.2,51,66.8,72,-0.023,234,0.57,136,104.9,154,104.3,124,2.81,82,13,21,13,0.6176470588235294
87,Mercer,ASun,8.34,110.8,75,102.4,119,63.6,233,0.022,130,-4.44,248,103.6,216,108.0,279,4.65,56,14,27,9,0.75
92,North Carolina Central,MEAC,7.98,108.6,114,100.7,92,62.3,293,0.04,87,-10.35,347,98.1,349,108.5,289,-1.94,216,14,28,6,0.8235294117647058
106,Delaware,CAA,5.83,112.0,60,106.2,192,70.4,10,0.064,41,-0.68,163,105.2,146,105.9,199,2.88,80,13,25,10,0.7142857142857143
113,Louisiana Lafayette,SB,5.19,110.2,89,105.0,167,68.5,31,0.038,91,-0.57,161,105.0,150,105.6,181,4.65,55,14,23,12,0.6571428571428571
120,American,Pat,4.57,103.4,206,98.9,61,59.7,343,0.007,165,-2.59,208,103.6,218,106.2,210,-0.1,163,15,20,13,0.6060606060606061
125,Eastern Kentucky,OVC,3.96,112.4,55,108.4,235,64.2,203,0.036,96,-4.97,268,104.1,189,109.0,314,-5.04,304,15,24,10,0.7058823529411765
131,Western Michigan,MAC,3.36,106.3,152,103.0,130,65.2,151,0.098,10,-1.86,188,103.9,202,105.7,187,-3.25,261,14,23,10,0.696969696969697
168,Milwaukee,Horz,0.08,104.7,188,104.6,164,65.8,115,0.119,4,0.03,150,104.4,173,104.4,128,-2.92,247,15,21,14,0.6
172,Weber St.,BSky,-0.62,106.4,149,107.0,213,62.9,263,-0.009,203,-6.78,304,103.3,238,110.0,338,6.69,30,16,19,12,0.6129032258064516
176,Cal Poly,BW,-0.82,103.6,202,104.4,159,58.8,347,-0.044,276,2.38,111,107.4,89,105.0,158,10.19,9,16,14,20,0.4117647058823529
181,Albany,AE,-1.04,102.9,217,103.9,148,61.6,314,0.002,181,-5.12,270,101.5,311,106.6,224,0.91,135,16,19,15,0.5588235294117647
192,Wofford,SC,-1.94,100.6,252,102.6,125,60.5,337,0.025,125,-5.87,287,103.5,224,109.3,320,7.63,22,15,20,13,0.6060606060606061
209,Mount St. Mary's,NEC,-3.96,107.8,127,111.7,292,68.2,39,0.031,110,-4.27,245,102.7,272,107.0,242,3.09,75,16,16,17,0.48484848484848486
221,Coastal Carolina,BSth,-4.98,98.2,290,103.2,133,65.6,125,0.04,89,-8.1,332,102.1,297,110.2,342,-4.94,301,16,21,13,0.6176470588235294
259,Texas Southern,SWAC,-7.49,106.7,142,114.1,326,65.7,120,-0.004,196,-11.11,349,97.6,350,108.8,300,2.72,85,16,19,15,0.5588235294117647
