NetRtg.Rk,Team,Conf,NetRtg,ORtg,ORtg.Rk,DRtg,DRtg.Rk,AdjT,AdjT.Rk,Luck,Luck.Rk,SOS.NetRtg,SOS.NetRtg.Rk,SOS.ORtg,SOS.ORtg.Rk,SOS.DRtg,SOS.DRtg.Rk,NCSOS.NetRtg,NCSOS.NetRk,Seed,W,L,WinPct
1,North Carolina,ACC,31.14,123.2,1,92.1,18,72.9,6,-0.011,195,9.91,24,108.2,27,98.3,15,1.06,126,1,34,4,0.8947368421052632
2,Connecticut,BE,29.25,116.0,17,86.8,3,67.1,96,0.024,107,10.37,13,109.0,11,98.6,24,-1.68,200,1,31,5,0.8611111111111112
3,Pittsburgh,BE,28.96,121.2,2,92.3,19,65.2,174,-0.012,201,10.11,19,108.1,28,98.0,12,0.79,132,1,31,5,0.8611111111111112
4,Memphis,CUSA,28.67,112.8,37,84.2,1,65.9,145,-0.009,190,4.73,77,105.5,73,100.8,78,4.19,67,2,33,4,0.8918918918918919
5,Louisville,BE,26.06,111.2,49,85.2,2,66.9,103,0.068,25,9.57,27,108.6,17,99.0,37,-0.19,161,1,31,6,0.8378378378378378
6,Missouri,B12,24.81,116.6,13,91.8,17,70.9,15,0.031,87,7.96,44,106.4,57,98.4,20,-3.76,251,3,31,7,0.8157894736842105
7,Oklahoma,B12,24.59,118.3,4,93.7,33,66.6,109,0.018,120,9.49,29,108.3,25,98.9,31,0.46,143,2,30,6,0.8333333333333334
8,Gonzaga,WCC,24.51,117.5,8,93.0,24,67.1,97,0.003,156,4.63,78,105.1,89,100.5,74,10.61,13,4,28,6,0.8235294117647058
9,Michigan St.,B10,24.37,114.3,26,89.9,6,66.5,112,0.091,11,12.33,2,109.4,5,97.1,2,5.81,42,2,31,7,0.8157894736842105
10,Duke,ACC,24.31,117.5,7,93.2,28,66.3,127,0.053,47,10.23,15,108.5,19,98.3,17,3.18,84,2,30,7,0.8108108108108109
11,West Virginia,BE,24.21,115.1,19,90.9,13,63.7,240,-0.067,315,10.95,8,108.9,12,98.0,10,2.11,107,6,23,12,0.6571428571428571
12,UCLA,P10,23.93,119.5,3,95.6,44,65.3,171,-0.03,251,8.42,39,107.6,39,99.1,40,-3.43,243,6,26,9,0.7428571428571429
13,Villanova,BE,23.89,114.4,24,90.5,10,68.3,62,0.021,116,9.99,22,108.9,14,98.9,32,-5.37,286,3,30,8,0.7894736842105263
14,Kansas,B12,23.83,114.5,23,90.7,11,67.2,93,-0.013,202,8.83,37,107.9,32,99.1,39,1.55,117,3,27,8,0.7714285714285715
