NetRtg.Rk,Team,Conf,NetRtg,ORtg,ORtg.Rk,DRtg,DRtg.Rk,AdjT,AdjT.Rk,Luck,Luck.Rk,SOS.NetRtg,SOS.NetRtg.Rk,SOS.ORtg,SOS.ORtg.Rk,SOS.DRtg,SOS.DRtg.Rk,NCSOS.NetRtg,NCSOS.NetRk,Seed,W,L,WinPct
1,Villanova,BE,32.01,122.8,3,90.8,5,66.0,274,0.023,114,10.74,13,110.5,19,99.7,9,2.98,83,2,35,5,0.875
2,North Carolina,ACC,29.82,124.4,1,94.6,21,70.5,60,-0.055,305,11.45,8,111.7,4,100.2,18,3.13,77,1,33,7,0.825
3,Kansas,B12,29.67,120.0,10,90.4,3,69.0,123,0.044,75,12.61,3,111.4,8,98.8,4,3.62,66,1,33,5,0.868421052631579
4,Virginia,ACC,29.64,120.6,8,91.0,7,61.3,348,-0.04,278,12.67,2,112.1,2,99.5,6,4.98,38,1,29,8,0.7837837837837838
5,Michigan St.,B10,27.97,123.4,2,95.5,26,66.5,254,-0.012,210,7.19,57,107.5,73,100.3,22,0.4,157,2,29,6,0.8285714285714286
6,Kentucky,SEC,25.14,121.8,5,96.6,39,67.4,214,-0.046,288,8.37,44,108.6,58,100.3,19,3.19,75,4,27,9,0.75
8,West Virginia,B12,24.45,115.3,27,90.9,6,69.5,104,0.003,171,11.24,9,110.9,11,99.6,7,0.72,149,3,26,9,0.7428571428571429
9,Purdue,B10,23.85,116.9,19,93.1,11,67.9,182,-0.046,286,7.43,56,109.1,46,101.7,66,-2.67,239,5,26,9,0.7428571428571429
10,Oklahoma,B12,23.78,117.9,16,94.1,17,69.8,88,0.082,29,13.05,1,111.5,6,98.5,3,2.7,87,2,29,8,0.7837837837837838
11,Indiana,B10,23.05,121.7,6,98.7,59,68.2,159,0.0,173,6.4,65,108.8,51,102.4,87,-3.12,258,5,27,8,0.7714285714285715
12,Oregon,P12,22.68,119.1,13,96.4,37,68.1,167,0.041,81,9.06,33,109.0,47,100.0,13,1.04,139,1,31,7,0.8157894736842105
13,Wichita St.,MVC,22.53,111.3,67,88.7,1,66.0,276,-0.079,333,3.61,88,104.8,154,101.2,51,6.45,24,11,26,9,0.7428571428571429
14,Xavier,BE,22.52,117.1,18,94.6,22,71.9,32,0.047,68,8.16,45,108.2,64,100.0,16,1.73,116,2,28,6,0.8235294117647058
15,Miami FL,ACC,22.44,119.4,11,96.9,42,65.9,284,0.077,33,11.67,6,111.6,5,99.9,11,2.63,90,3,27,8,0.7714285714285715
17,Duke,ACC,21.87,121.9,4,100.0,86,67.7,194,-0.026,248,11.23,10,112.0,3,100.7,35,3.52,69,4,25,11,0.6944444444444444
18,Texas A&M,SEC,21.26,113.8,37,92.5,9,67.1,230,0.006,162,8.48,42,109.6,36,101.1,50,3.15,76,3,28,9,0.7567567567567568
19,Arizona,P12,20.97,116.8,20,95.8,29,68.3,154,-0.038,272,6.66,63,107.9,67,101.3,54,-3.66,269,6,25,9,0.7352941176470589
20,Iowa St.,B12,20.95,121.2,7,100.3,91,71.2,49,-0.062,318,12.05,5,110.2,28,98.1,1,2.54,92,4,23,12,0.6571428571428571
21,Gonzaga,WCC,20.82,116.3,22,95.5,27,67.3,218,-0.038,273,3.51,90,107.3,77,103.8,118,6.12,25,11,28,8,0.7777777777777778
22,Maryland,B10,20.25,116.2,24,95.9,32,67.4,213,0.016,129,8.6,39,109.2,45,100.6,30,-1.86,218,5,27,9,0.75
23,Iowa,B10,20.24,116.1,25,95.9,30,68.8,131,-0.071,327,9.12,30,110.2,26,101.1,49,1.28,132,7,22,11,0.6666666666666666
24,Baylor,B12,19.06,118.9,14,99.8,84,66.6,252,-0.012,211,11.21,11,109.7,34,98.4,2,-3.12,257,5,22,12,0.6470588235294118
25,Vanderbilt,SEC,18.76,113.6,40,94.9,23,67.8,184,-0.106,346,8.6,40,109.2,44,100.6,31,3.68,65,11,19,14,0.5757575757575758
26,Connecticut,Amer,18.71,111.9,59,93.2,12,65.9,277,-0.036,270,6.17,71,107.6,72,101.4,56,-0.91,187,9,25,11,0.6944444444444444
27,Syracuse,ACC,18.57,112.7,50,94.1,18,65.0,314,-0.027,249,10.21,18,110.9,12,100.7,33,-0.82,180,10,23,14,0.6216216216216216
28,California,P12,18.32,112.5,53,94.2,19,68.1,162,-0.053,300,7.65,52,109.4,40,101.8,70,-2.58,234,4,23,11,0.6764705882352942
29,Seton Hall,BE,18.27,111.1,72,92.9,10,69.7,92,0.016,132,8.55,41,108.5,61,100.0,14,-2.92,247,6,25,9,0.7352941176470589
30,Butler,BE,17.27,118.0,15,100.7,97,67.9,178,-0.009,201,8.1,47,108.5,62,100.4,25,-4.1,282,9,22,11,0.6666666666666666
31,VCU,A10,17.07,112.1,58,95.0,24,69.6,96,-0.07,326,3.82,87,107.3,76,103.5,111,0.95,142,10,25,11,0.6944444444444444
32,Cincinnati,Amer,17.06,111.2,70,94.1,16,64.0,333,-0.067,322,5.2,77,107.3,79,102.1,75,-1.21,197,9,22,11,0.6666666666666666
33,Utah,P12,16.79,115.6,26,98.8,60,65.3,305,0.112,9,9.79,21,109.8,33,100.0,12,1.9,114,3,27,9,0.75
36,Notre Dame,ACC,16.6,120.6,9,104.0,158,64.6,324,0.054,54,10.75,12,111.3,9,100.5,29,-1.64,210,6,24,12,0.6666666666666666
37,Pittsburgh,ACC,16.6,114.9,28,98.3,53,65.3,303,-0.011,206,9.06,34,110.8,14,101.7,68,-7.02,324,10,21,12,0.6363636363636364
38,Wisconsin,B10,16.55,110.1,89,93.6,13,63.3,344,-0.022,235,9.57,25,110.3,24,100.7,36,1.24,134,7,22,13,0.6285714285714286
39,Texas,B12,16.19,113.0,49,96.8,40,65.3,306,0.022,118,12.54,4,111.5,7,99.0,5,5.55,31,6,20,13,0.6060606060606061
