NetRtg.Rk,Team,Conf,NetRtg,ORtg,ORtg.Rk,DRtg,DRtg.Rk,AdjT,AdjT.Rk,Luck,Luck.Rk,SOS.NetRtg,SOS.NetRtg.Rk,SOS.ORtg,SOS.ORtg.Rk,SOS.DRtg,SOS.DRtg.Rk,NCSOS.NetRtg,NCSOS.NetRk,Seed,W,L,WinPct
1,Louisville,BE,32.92,117.7,7,84.8,1,65.8,116,-0.016,230,10.23,7,107.4,11,97.2,6,2.15,100,1,35,5,0.875
2,Florida,SEC,31.18,117.2,9,86.0,3,61.9,280,-0.089,332,7.0,41,105.6,63,98.6,36,4.09,62,3,29,8,0.7837837837837838
3,Indiana,B10,29.31,120.8,2,91.5,19,66.0,105,-0.021,239,8.86,17,106.7,23,97.8,14,-5.16,294,1,29,7,0.8055555555555556
4,Michigan,B10,27.86,121.9,1,94.0,37,64.0,198,-0.007,197,11.13,3,108.2,5,97.0,3,-3.09,257,4,31,8,0.7948717948717948
5,Gonzaga,WCC,27.81,120.5,3,92.7,30,63.3,232,0.026,116,4.37,87,105.4,75,101.0,102,5.03,39,1,32,3,0.9142857142857143
6,Duke,ACC,26.98,119.1,4,92.1,26,66.7,75,0.033,97,9.95,10,108.4,4,98.5,29,6.85,18,2,30,6,0.8333333333333334
7,Ohio St.,B10,25.42,115.1,14,89.7,9,63.6,218,0.02,135,10.18,9,107.3,12,97.1,5,-5.53,302,2,29,8,0.7837837837837838
8,Kansas,B12,25.23,112.7,27,87.5,5,66.4,86,0.01,153,7.05,40,106.8,19,99.8,66,2.64,87,1,31,6,0.8378378378378378
9,Syracuse,BE,24.83,113.1,26,88.3,6,63.1,235,-0.004,188,9.46,11,106.8,20,97.4,9,-4.44,282,4,30,10,0.75
10,Michigan St.,B10,24.17,112.6,29,88.5,7,63.1,238,0.001,174,11.91,1,108.8,2,96.9,2,-0.75,183,3,27,9,0.75
11,Pittsburgh,BE,24.08,115.6,12,91.5,21,59.3,337,-0.058,304,4.52,84,104.9,89,100.4,87,-9.69,340,8,24,9,0.7272727272727273
12,Wisconsin,B10,22.57,108.3,73,85.7,2,60.4,319,-0.033,268,11.08,4,108.8,1,97.7,12,-3.2,262,5,23,12,0.6571428571428571
13,Miami FL,ACC,22.37,113.6,22,91.3,18,61.9,281,0.028,108,8.41,20,107.7,9,99.3,54,4.96,42,2,29,7,0.8055555555555556
14,Arizona,P12,21.88,115.4,13,93.5,32,65.5,133,-0.012,214,7.99,24,106.4,29,98.5,27,1.45,116,6,27,8,0.7714285714285715
