NetRtg.Rk,Team,Conf,NetRtg,ORtg,ORtg.Rk,DRtg,DRtg.Rk,AdjT,AdjT.Rk,Luck,Luck.Rk,SOS.NetRtg,SOS.NetRtg.Rk,SOS.ORtg,SOS.ORtg.Rk,SOS.DRtg,SOS.DRtg.Rk,NCSOS.NetRtg,NCSOS.NetRk,Seed,W,L,WinPct
1,Gonzaga,WCC,32.05,118.4,16,86.3,1,70.1,76,0.02,133,2.99,89,106.2,84,103.3,105,1.01,127,1,37,2,0.9487179487179487
2,Villanova,BE,29.88,122.4,3,92.5,12,64.1,324,0.01,166,9.33,33,109.8,38,100.5,32,3.55,61,1,32,4,0.8888888888888888
3,North Carolina,ACC,28.22,120.7,9,92.5,11,71.3,40,0.037,85,12.49,6,112.0,4,99.5,19,3.87,53,1,33,7,0.825
4,Kentucky,SEC,27.72,119.1,12,91.4,7,72.0,26,0.006,175,10.98,19,110.5,24,99.5,15,3.74,56,2,32,6,0.8421052631578947
5,Florida,SEC,27.5,116.9,25,89.5,5,69.0,117,-0.041,286,12.46,7,110.3,28,97.8,2,8.19,15,4,27,9,0.75
6,Kansas,B12,27.45,121.9,5,94.5,24,70.2,72,0.067,32,12.43,8,111.2,10,98.8,8,2.39,80,1,31,5,0.8611111111111112
7,West Virginia,B12,27.17,116.5,26,89.4,4,69.9,84,-0.043,289,10.84,21,110.1,34,99.2,12,-7.97,340,4,28,9,0.7567567567567568
8,Wichita St.,MVC,26.14,118.7,13,92.6,13,68.0,191,-0.021,238,1.5,102,105.0,130,103.5,110,-0.32,161,10,31,5,0.8611111111111112
9,Louisville,ACC,25.51,117.2,22,91.7,8,67.9,194,-0.023,244,11.14,17,111.6,7,100.5,33,4.2,48,2,25,9,0.7352941176470589
10,Oregon,P12,25.02,118.2,17,93.2,17,67.0,234,0.034,88,8.05,50,109.2,47,101.2,51,0.51,137,3,33,6,0.8461538461538461
11,SMU,Amer,24.73,119.8,10,95.0,27,63.5,333,0.003,183,3.25,88,105.3,117,102.1,70,-0.92,179,6,30,5,0.8571428571428571
12,Virginia,ACC,24.29,112.2,50,88.0,2,59.2,351,-0.03,258,11.68,10,111.5,8,99.8,22,2.29,82,5,23,11,0.6764705882352942
13,Baylor,B12,24.23,117.1,23,92.9,16,63.7,328,0.023,126,13.08,5,111.7,6,98.6,6,1.67,110,3,27,8,0.7714285714285715
14,Duke,ACC,24.17,121.0,6,96.8,47,68.3,175,0.014,150,11.43,12,111.0,13,99.6,21,0.03,153,2,28,9,0.7567567567567568
15,Saint Mary's,WCC,23.67,118.7,14,95.0,26,60.2,350,0.03,99,0.41,127,104.3,163,103.9,117,-4.13,277,7,29,5,0.8529411764705882
16,UCLA,P12,23.63,124.0,2,100.4,85,72.6,20,0.021,132,5.17,74,108.0,67,102.8,89,-4.66,291,3,31,5,0.8611111111111112
17,Iowa St.,B12,23.45,119.7,11,96.3,42,68.4,170,-0.019,234,14.05,3,112.6,2,98.6,5,-0.74,175,5,24,11,0.6857142857142857
