ID,Round,Team1,Team2,Team1 Score,Team2 Score,Winner
1,1,Villanova,Radford,87,61,Villanova
2,1,Purdue,Cal St. Fullerton,74,48,Purdue
3,1,Texas Tech,Stephen F. Austin,70,60,Texas Tech
4,1,Marshall,Wichita St.,81,75,Marshall
5,1,West Virginia,Murray St.,85,68,West Virginia
6,1,Florida,St. Bonaventure,77,62,Florida
7,1,Butler,Arkansas,79,62,Butler
8,1,Alabama,Virginia Tech,86,83,Alabama
9,1,Xavier,Texas Southern,102,82,Xavier
10,1,North Carolina,Lipscomb,84,66,North Carolina
11,1,Michigan,Montana,61,47,Michigan
12,1,Gonzaga,UNC Greensboro,68,64,Gonzaga
13,1,Ohio St.,South Dakota St.,81,73,Ohio St.
14,1,Houston,San Diego St.,67,65,Houston
15,1,Texas A&M,Providence,73,69,Texas A&M
16,1,Florida St.,Missouri,67,54,Florida St.
17,1,UMBC,Virginia,74,54,UMBC
18,1,Cincinnati,Georgia St.,68,53,Cincinnati
19,1,Tennessee,Wright St.,73,47,Tennessee
20,1,Buffalo,Arizona,89,68,Buffalo
21,1,Kentucky,Davidson,78,73,Kentucky
22,1,Loyola Chicago,Miami FL,64,62,Loyola Chicago
23,1,Nevada,Texas,87,83,Nevada
24,1,Kansas St.,Creighton,69,59,Kansas St.
25,1,Kansas,Penn,76,60,Kansas
26,1,Duke,Iona,89,67,Duke
27,1,Michigan St.,Bucknell,82,78,Michigan St.
28,1,Auburn,College of Charleston,62,58,Auburn
29,1,Clemson,New Mexico St.,79,68,Clemson
30,1,Syracuse,TCU,57,52,Syracuse
31,1,Rhode Island,Oklahoma,83,78,Rhode Island
32,1,Seton Hall,N.C. State,94,83,Seton Hall
33,2,Villanova,Alabama,81,58,Villanova
34,2,Purdue,Butler,76,73,Purdue
35,2,Texas Tech,Florida,69,66,Texas Tech
36,2,West Virginia,Marshall,94,71,West Virginia
37,2,Florida St.,Xavier,75,70,Florida St.
38,2,Texas A&M,North Carolina,86,65,Texas A&M
39,2,Michigan,Houston,64,63,Michigan
40,2,Gonzaga,Ohio St.,90,84,Gonzaga
41,2,Kansas St.,UMBC,50,43,Kansas St.
42,2,Nevada,Cincinnati,75,73,Nevada
43,2,Loyola Chicago,Tennessee,63,62,Loyola Chicago
44,2,Kentucky,Buffalo,95,75,Kentucky
45,2,Kansas,Seton Hall,83,79,Kansas
46,2,Duke,Rhode Island,87,62,Duke
47,2,Syracuse,Michigan St.,55,53,Syracuse
48,2,Clemson,Auburn,84,53,Clemson
49,3,Villanova,West Virginia,90,78,Villanova
50,3,Texas Tech,Purdue,78,65,Texas Tech
51,3,Florida St.,Gonzaga,75,60,Florida St.
52,3,Michigan,Texas A&M,99,72,Michigan
53,3,Kansas St.,Kentucky,61,58,Kansas St.
54,3,Loyola Chicago,Nevada,69,68,Loyola Chicago
55,3,Kansas,Clemson,80,76,Kansas
56,3,Duke,Syracuse,69,65,Duke
57,4,Villanova,Texas Tech,71,59,Villanova
58,4,Michigan,Florida St.,58,54,Michigan
59,4,Loyola Chicago,Kansas St.,78,62,Loyola Chicago
60,4,Kansas,Duke,85,81,Kansas
61,5,Villanova,Kansas,95,79,Villanova
62,5,Michigan,Loyola Chicago,69,57,Michigan
63,6,Villanova,Michigan,79,62,Villanova
