NetRtg.Rk,Team,Conf,NetRtg,ORtg,ORtg.Rk,DRtg,DRtg.Rk,AdjT,AdjT.Rk,Luck,Luck.Rk,SOS.NetRtg,SOS.NetRtg.Rk,SOS.ORtg,SOS.ORtg.Rk,SOS.DRtg,SOS.DRtg.Rk,NCSOS.NetRtg,NCSOS.NetRk,Seed,W,L,WinPct
1,Kentucky,SEC,29.18,116.5,5,87.4,4,67.7,132,0.051,53,11.2,4,108.6,3,97.4,16,6.77,33,1,32,4,0.8888888888888888
2,Kansas,B12,28.62,115.0,12,86.4,3,72.2,14,-0.017,208,11.84,2,108.6,2,96.8,9,6.07,35,2,30,8,0.7894736842105263
3,Pittsburgh,BE,28.61,114.8,14,86.2,2,64.7,266,-0.023,224,7.08,56,105.5,66,98.4,48,-8.24,310,2,28,5,0.8484848484848485
4,Arizona,P10,26.8,115.6,10,88.8,8,72.7,11,-0.007,181,8.69,31,107.2,14,98.5,52,8.19,26,1,28,4,0.875
5,Illinois,B10,24.47,113.2,22,88.7,7,67.8,127,-0.029,242,7.29,52,105.8,60,98.5,53,-4.18,257,4,25,7,0.78125
6,Duke,ACC,23.75,115.0,13,91.3,15,70.7,40,-0.03,246,8.85,28,107.1,17,98.3,43,0.64,138,3,26,7,0.7878787878787878
7,Texas,B12,23.49,119.3,3,95.8,58,69.4,67,-0.009,188,10.36,9,107.1,16,96.7,7,2.16,104,1,26,7,0.7878787878787878
8,Syracuse,BE,23.28,114.4,17,91.1,14,71.0,32,0.083,16,10.32,10,106.6,34,96.3,4,-3.63,242,3,30,5,0.8571428571428571
9,Oklahoma,B12,23.01,112.1,25,89.1,10,62.7,299,0.034,84,9.01,24,106.7,30,97.7,25,-2.32,214,1,27,7,0.7941176470588235
10,Louisville,CUSA,22.75,115.8,9,93.0,25,72.5,12,-0.029,241,6.8,61,105.4,67,98.6,56,6.01,39,4,25,7,0.78125
11,Florida,SEC,22.14,116.5,6,94.4,36,65.0,256,0.008,140,8.3,36,105.9,56,97.6,24,-0.9,174,2,25,8,0.7575757575757576
12,Wisconsin,B10,22.07,114.4,16,92.4,21,61.9,310,-0.024,228,6.46,64,106.1,52,99.6,80,-1.01,179,5,24,8,0.75
13,Maryland,ACC,22.0,110.9,34,88.9,9,71.5,23,-0.078,301,8.23,38,106.6,36,98.4,47,-5.29,282,6,21,10,0.6774193548387096
14,Mississippi St.,SEC,21.53,107.4,79,85.8,1,64.8,263,-0.06,290,8.85,27,106.9,23,98.0,34,-2.62,218,5,21,10,0.6774193548387096
15,Marquette,CUSA,21.3,120.5,2,99.2,109,65.7,219,0.07,30,7.93,42,106.1,50,98.2,40,-1.45,188,3,27,6,0.8181818181818182
17,Saint Joseph's,A10,20.75,109.0,58,88.3,6,64.1,281,-0.049,279,4.6,88,105.0,74,100.4,95,5.8,43,7,23,7,0.7666666666666667
18,Notre Dame,BE,20.31,116.5,7,96.2,60,69.2,74,0.009,139,11.01,6,107.4,9,96.3,5,3.78,65,5,24,10,0.7058823529411765
19,Michigan St.,B10,20.26,110.1,43,89.9,12,63.6,286,-0.05,280,10.11,13,107.3,12,97.2,13,3.2,83,7,22,13,0.6285714285714286
20,Xavier,A10,19.88,113.8,19,94.0,29,67.7,131,0.018,120,4.79,86,105.0,75,100.2,90,4.81,56,3,26,6,0.8125
21,Wake Forest,ACC,19.87,114.5,15,94.6,37,67.7,130,0.073,25,7.83,44,105.8,58,98.0,35,-3.8,249,2,25,6,0.8064516129032258
22,Connecticut,BE,19.54,111.6,26,92.0,17,71.2,29,0.005,152,8.75,29,107.3,10,98.6,57,-3.48,237,5,23,10,0.696969696969697
23,LSU,SEC,18.15,111.0,33,92.8,24,67.5,140,-0.035,262,6.27,67,104.8,80,98.6,55,-8.36,311,8,21,11,0.65625
24,BYU,MWC,17.68,109.4,52,91.7,16,65.5,234,-0.031,247,5.49,74,107.3,11,101.8,130,5.2,52,12,23,9,0.71875
25,Oklahoma St.,B12,17.67,105.9,100,88.2,5,66.7,177,0.003,157,9.08,22,106.3,44,97.2,15,-1.17,183,6,22,10,0.6875
26,Creighton,MVC,17.54,112.4,24,94.9,40,68.4,103,0.026,99,-0.19,155,102.5,159,102.7,168,-0.51,164,6,29,5,0.8529411764705882
27,Purdue,B10,17.42,107.0,87,89.6,11,69.3,71,-0.012,194,9.53,17,107.6,6,98.0,36,4.87,55,9,19,11,0.6333333333333333
28,Missouri,B12,17.32,111.5,27,94.2,34,66.9,173,0.043,68,11.14,5,107.1,18,95.9,1,2.97,87,6,22,11,0.6666666666666666
29,Memphis,CUSA,16.72,110.9,35,94.1,33,68.3,109,0.005,151,4.83,84,103.4,133,98.6,54,3.33,81,7,23,7,0.7666666666666667
30,Arizona St.,P10,16.49,113.9,18,97.4,78,66.9,169,-0.014,201,8.74,30,106.4,41,97.7,26,5.43,50,10,20,12,0.625
31,Butler,Horz,16.09,115.4,11,99.3,110,58.6,325,0.073,24,4.1,91,104.5,95,100.4,94,1.84,112,12,27,6,0.8181818181818182
