NetRtg.Rk,Team,Conf,NetRtg,ORtg,ORtg.Rk,DRtg,DRtg.Rk,AdjT,AdjT.Rk,Luck,Luck.Rk,SOS.NetRtg,SOS.NetRtg.Rk,SOS.ORtg,SOS.ORtg.Rk,SOS.DRtg,SOS.DRtg.Rk,NCSOS.NetRtg,NCSOS.NetRk,Seed,W,L,WinPct
1,Ohio St.,B10,33.47,125.0,1,91.5,12,63.8,250,0.031,103,8.82,26,108.9,17,100.0,45,-4.08,266,1,34,3,0.918918918918919
2,Duke,ACC,28.42,119.7,5,91.3,9,68.6,40,0.017,140,8.43,30,107.3,36,98.9,15,3.48,64,1,32,5,0.8648648648648649
3,Kansas,B12,28.38,118.9,6,90.6,6,68.4,42,0.06,38,7.75,32,108.2,28,100.5,61,-0.29,164,1,35,3,0.9210526315789473
4,Pittsburgh,BE,27.08,120.6,4,93.5,24,61.8,315,-0.023,236,8.17,31,107.6,32,99.4,24,-3.68,254,1,28,6,0.8235294117647058
5,Texas,B12,25.93,115.5,21,89.6,4,65.5,161,-0.058,307,7.61,35,107.5,34,99.9,37,0.6,143,4,28,8,0.7777777777777778
6,Wisconsin,B10,25.84,122.3,2,96.5,52,56.9,344,-0.003,191,10.81,11,110.0,9,99.2,20,-3.58,253,4,25,9,0.7352941176470589
7,Kentucky,SEC,25.82,117.8,8,92.0,16,65.0,184,-0.044,285,9.81,18,108.4,23,98.5,10,4.46,52,4,29,9,0.7631578947368421
8,San Diego St.,MWC,24.98,114.1,28,89.1,2,62.3,306,0.059,43,7.48,38,107.6,31,100.1,48,4.1,56,2,34,3,0.918918918918919
9,Purdue,B10,24.79,115.9,18,91.1,8,66.0,136,0.007,161,10.16,14,108.8,18,98.7,12,1.21,120,3,26,8,0.7647058823529411
10,Connecticut,BE,23.93,115.8,19,91.9,15,64.5,221,0.048,58,12.78,2,110.1,8,97.4,2,-0.77,179,3,32,9,0.7804878048780488
11,Notre Dame,BE,23.25,120.9,3,97.7,66,63.1,277,0.074,24,9.92,17,108.2,27,98.3,6,-3.83,257,2,27,7,0.7941176470588235
12,BYU,MWC,23.22,117.5,11,94.3,29,70.2,17,0.055,46,7.04,43,106.8,49,99.8,34,3.59,62,3,32,5,0.8648648648648649
13,Syracuse,BE,22.49,114.9,24,92.4,17,64.6,212,0.032,99,9.03,23,108.3,24,99.3,23,-2.31,215,3,27,8,0.7714285714285715
14,Louisville,BE,22.26,111.4,52,89.2,3,66.8,88,-0.037,269,8.77,27,108.3,26,99.5,27,-5.13,289,4,25,10,0.7142857142857143
15,North Carolina,ACC,22.18,111.8,49,89.6,5,70.6,15,0.064,33,11.14,8,109.9,11,98.8,14,6.01,36,2,29,8,0.7837837837837838
16,Washington,P10,21.69,117.7,10,96.0,49,69.9,21,-0.099,334,7.21,40,106.9,46,99.7,30,1.07,122,7,24,11,0.6857142857142857
17,Florida,SEC,20.61,115.8,20,95.2,38,62.5,300,0.038,84,7.73,33,106.8,47,99.1,19,1.55,110,2,29,8,0.7837837837837838
18,Illinois,B10,20.14,113.3,34,93.1,23,64.8,202,-0.074,322,12.29,6,110.6,5,98.3,8,3.15,68,9,20,14,0.5882352941176471
19,West Virginia,BE,20.11,114.9,23,94.8,35,62.5,298,-0.018,227,12.7,3,111.0,1,98.3,7,7.1,21,5,21,12,0.6363636363636364
20,Arizona,P10,19.65,117.4,12,97.8,67,65.3,170,0.064,32,7.69,34,107.7,30,100.0,41,-0.36,166,5,30,8,0.7894736842105263
21,Cincinnati,BE,19.41,111.1,55,91.7,13,62.6,293,0.04,80,6.23,55,106.8,48,100.6,64,-9.35,334,6,26,9,0.7428571428571429
22,Utah St.,WAC,19.32,111.2,54,91.8,14,62.4,302,0.033,93,-0.29,160,103.8,142,104.1,186,-2.4,217,12,30,4,0.8823529411764706
23,Belmont,ASun,18.48,112.6,40,94.1,28,68.4,44,-0.006,196,-4.71,270,100.5,279,105.2,245,-1.05,184,13,30,5,0.8571428571428571
24,George Mason,CAA,18.3,114.1,29,95.8,45,64.5,217,0.028,108,2.06,105,105.0,93,103.0,135,0.66,140,8,27,7,0.7941176470588235
25,Clemson,ACC,18.16,109.6,71,91.5,11,63.9,248,-0.087,329,6.99,45,106.7,53,99.7,33,-2.81,230,12,22,12,0.6470588235294118
26,Marquette,BE,18.14,115.5,22,97.3,62,66.2,116,-0.058,306,11.06,9,109.4,13,98.4,9,-5.91,308,11,22,15,0.5945945945945946
28,Villanova,BE,17.83,114.9,25,97.0,59,65.0,182,-0.04,278,9.07,21,108.3,25,99.3,22,-0.79,181,9,21,12,0.6363636363636364
