NetRtg.Rk,Team,Conf,NetRtg,ORtg,ORtg.Rk,DRtg,DRtg.Rk,AdjT,AdjT.Rk,Luck,Luck.Rk,SOS.NetRtg,SOS.NetRtg.Rk,SOS.ORtg,SOS.ORtg.Rk,SOS.DRtg,SOS.DRtg.Rk,NCSOS.NetRtg,NCSOS.NetRk,Seed,W,L,WinPct
1,Kansas,B12,35.21,120.9,2,85.7,1,66.8,109,0.012,138,9.57,14,109.2,8,99.6,35,-1.41,184,1,37,3,0.925
2,Memphis,CUSA,31.51,118.0,6,86.5,2,68.1,76,0.012,141,5.83,72,107.0,62,101.1,79,5.45,39,1,38,2,0.95
3,North Carolina,ACC,30.22,122.1,1,91.9,14,72.5,9,0.05,55,10.18,7,108.0,36,97.8,2,1.5,107,1,36,3,0.9230769230769231
4,UCLA,P10,29.94,118.0,7,88.1,5,64.1,209,0.047,62,10.03,9,109.3,6,99.3,24,-1.63,196,1,35,4,0.8974358974358975
5,Wisconsin,B10,26.68,113.5,37,86.8,3,61.1,306,0.043,69,7.35,51,107.1,61,99.8,40,-0.19,154,3,31,5,0.8611111111111112
6,Duke,ACC,26.4,116.3,13,89.9,7,71.5,13,-0.006,189,10.06,8,109.1,9,99.0,18,3.36,73,2,28,6,0.8235294117647058
7,Georgetown,BE,25.56,115.2,21,89.7,6,60.5,316,0.029,99,8.48,35,108.2,31,99.8,39,-2.72,235,2,28,6,0.8235294117647058
8,Louisville,BE,25.41,113.1,40,87.7,4,65.3,160,-0.057,300,9.34,21,108.4,28,99.0,17,0.79,126,3,27,9,0.75
9,Texas,B12,25.09,120.6,3,95.5,42,63.9,222,0.044,67,10.37,6,108.4,29,98.0,3,0.04,146,2,31,7,0.8157894736842105
10,Washington St.,P10,24.32,115.1,23,90.8,9,58.3,334,-0.004,179,8.99,29,109.0,12,100.0,52,-6.51,309,4,26,9,0.7428571428571429
11,Davidson,SC,23.61,117.0,9,93.4,24,66.2,133,-0.036,260,3.36,102,105.2,105,101.8,97,14.93,1,10,29,7,0.8055555555555556
12,Stanford,P10,22.75,113.6,36,90.9,10,63.4,248,0.04,78,9.32,22,109.1,11,99.7,37,-6.32,306,3,28,8,0.7777777777777778
13,Tennessee,SEC,22.17,116.2,15,94.0,28,70.7,20,0.11,4,9.58,13,109.4,4,99.8,41,7.64,24,2,31,5,0.8611111111111112
14,Marquette,BE,22.16,115.3,20,93.1,21,66.6,118,-0.027,240,8.62,32,107.9,41,99.3,26,-6.37,307,6,25,10,0.7142857142857143
15,Xavier,A10,22.05,117.3,8,95.2,39,63.8,225,0.054,49,6.94,53,108.1,34,101.2,80,3.5,69,3,30,7,0.8108108108108109
