NetRtg.Rk,Team,Conf,NetRtg,ORtg,ORtg.Rk,DRtg,DRtg.Rk,AdjT,AdjT.Rk,Luck,Luck.Rk,SOS.NetRtg,SOS.NetRtg.Rk,SOS.ORtg,SOS.ORtg.Rk,SOS.DRtg,SOS.DRtg.Rk,NCSOS.NetRtg,NCSOS.NetRk,Seed,W,L,WinPct
1,Florida,SEC,28.28,117.9,3,89.7,7,66.9,102,-0.011,194,8.35,24,107.7,24,99.3,47,-8.46,320,3,33,6,0.8461538461538461
2,Duke,ACC,27.54,119.4,1,91.8,16,69.8,29,0.047,56,10.51,5,108.1,16,97.6,4,6.81,37,1,32,4,0.8888888888888888
3,Texas,B12,25.79,117.5,6,91.7,15,63.9,233,0.039,73,7.79,35,106.1,55,98.3,14,-0.02,158,2,30,7,0.8108108108108109
4,Connecticut,BE,25.44,117.8,5,92.3,18,68.7,49,0.077,26,8.98,18,107.4,29,98.4,16,-3.8,252,1,30,4,0.8823529411764706
5,Villanova,BE,24.59,116.3,11,91.7,14,65.6,143,0.08,20,10.79,2,108.4,5,97.6,5,3.17,72,1,28,5,0.8484848484848485
6,Memphis,CUSA,23.54,113.2,22,89.6,6,70.8,17,-0.007,185,3.89,91,103.9,128,100.0,68,7.82,26,1,33,4,0.8918918918918919
7,UCLA,P10,23.4,112.7,31,89.3,4,61.6,298,0.02,115,8.3,27,107.4,31,99.1,37,1.6,116,2,32,7,0.8205128205128205
8,Kansas,B12,23.22,110.4,50,87.2,2,67.7,75,-0.043,271,6.03,64,106.0,63,99.9,65,-1.11,182,4,25,8,0.7575757575757576
9,Illinois,B10,23.2,114.5,18,91.3,12,62.1,283,-0.019,212,6.77,50,106.4,49,99.6,55,-4.52,268,4,26,7,0.7878787878787878
10,North Carolina,ACC,22.16,115.9,13,93.7,28,70.2,23,-0.01,191,9.1,16,107.6,26,98.6,23,-0.83,176,3,23,8,0.7419354838709677
11,LSU,SEC,22.0,109.8,62,87.8,3,67.5,90,0.008,146,10.68,3,108.3,10,97.6,6,1.75,109,4,27,9,0.75
12,Pittsburgh,BE,21.72,112.4,33,90.6,9,64.6,203,-0.031,244,7.81,34,108.0,21,100.1,72,-6.92,304,5,25,8,0.7575757575757576
13,Georgetown,BE,21.29,116.5,9,95.2,46,57.8,329,-0.026,226,9.58,11,108.1,14,98.5,22,-1.83,208,7,23,10,0.696969696969697
14,Ohio St.,B10,20.68,113.0,25,92.3,19,65.2,169,0.028,97,6.74,53,107.0,37,100.3,76,-3.33,241,2,26,6,0.8125
15,Washington,P10,20.09,114.8,16,94.7,38,71.6,10,0.007,151,5.21,78,105.5,71,100.3,75,-7.56,313,5,26,7,0.7878787878787878
16,West Virginia,BE,19.49,116.1,12,96.6,62,62.5,276,-0.046,278,10.37,7,108.4,7,98.0,9,-0.49,164,6,22,11,0.6666666666666666
17,Tennessee,SEC,19.44,116.6,8,97.2,72,71.1,13,0.012,140,9.44,13,108.0,20,98.5,20,-0.74,171,2,22,8,0.7333333333333333
18,Boston College,ACC,18.65,117.8,4,99.2,99,61.5,301,0.024,106,7.43,41,107.1,34,99.7,60,-5.69,287,4,28,8,0.7777777777777778
20,Arkansas,SEC,18.47,112.2,34,93.8,29,66.0,133,-0.062,293,6.35,58,106.0,62,99.6,57,-4.78,274,8,22,10,0.6875
21,Iowa,B10,18.22,103.8,154,85.6,1,64.7,194,0.046,59,7.86,33,107.7,23,99.9,64,-0.77,173,3,25,9,0.7352941176470589
22,George Mason,CAA,18.16,109.7,66,91.5,13,62.6,269,0.017,121,4.11,88,105.3,77,101.2,101,2.16,92,11,27,8,0.7714285714285715
23,Arizona,P10,17.23,112.2,35,95.0,40,67.7,78,-0.037,256,10.53,4,108.0,18,97.5,2,9.27,16,8,20,13,0.6060606060606061
24,Kentucky,SEC,17.13,114.4,19,97.3,75,64.1,228,-0.001,173,10.02,9,108.2,12,98.2,12,3.02,74,8,22,13,0.6285714285714286
25,Bradley,MVC,16.5,107.5,86,91.0,11,69.3,37,-0.019,213,6.94,46,105.4,74,98.5,19,-2.22,217,13,22,11,0.6666666666666666
26,Wichita St.,MVC,16.06,111.8,38,95.7,49,62.6,267,0.032,89,6.03,65,104.7,96,98.7,26,0.35,146,7,26,9,0.7428571428571429
27,Michigan St.,B10,16.02,116.3,10,100.3,119,64.2,223,0.004,161,8.89,19,106.4,48,97.5,3,-1.03,179,6,22,12,0.6470588235294118
30,N.C. State,ACC,15.92,112.5,32,96.6,60,64.4,216,0.013,135,6.74,52,107.1,36,100.3,78,-7.99,316,10,22,10,0.6875
31,Texas A&M,B12,15.9,106.7,103,90.8,10,63.0,260,-0.008,188,4.22,86,104.8,94,100.6,85,-12.2,331,12,22,9,0.7096774193548387
32,Northern Iowa,MVC,15.84,109.0,75,93.1,21,59.6,321,-0.025,222,6.18,59,104.4,103,98.2,13,0.24,148,10,23,10,0.696969696969697
33,Gonzaga,WCC,15.64,119.1,2,103.5,174,66.3,121,0.036,79,4.38,84,104.4,104,100.0,69,7.98,25,3,29,4,0.8787878787878788
34,Indiana,B10,15.53,110.0,58,94.4,33,66.5,118,-0.012,197,9.77,10,108.8,1,99.0,32,2.17,91,6,19,12,0.6129032258064516
36,Marquette,BE,15.36,112.8,27,97.4,78,68.1,67,-0.012,196,8.82,20,108.6,3,99.8,61,-1.71,202,7,20,11,0.6451612903225806
37,Nevada,WAC,15.22,110.0,57,94.8,39,65.8,137,0.024,107,1.9,119,103.6,143,101.7,122,3.89,60,5,27,6,0.8181818181818182
39,Wisconsin,B10,14.94,111.5,40,96.6,61,65.2,171,-0.024,219,7.96,31,106.6,46,98.6,24,0.91,130,9,19,12,0.6129032258064516
40,Air Force,MWC,14.87,113.2,21,98.3,89,54.7,332,-0.001,172,0.57,147,102.8,176,102.2,137,-6.63,300,13,24,7,0.7741935483870968
