NetRtg.Rk,Team,Conf,NetRtg,ORtg,ORtg.Rk,DRtg,DRtg.Rk,AdjT,AdjT.Rk,Luck,Luck.Rk,SOS.NetRtg,SOS.NetRtg.Rk,SOS.ORtg,SOS.ORtg.Rk,SOS.DRtg,SOS.DRtg.Rk,NCSOS.NetRtg,NCSOS.NetRk,Seed,W,L,WinPct
1,Connecticut,BE,36.43,127.5,1,91.1,4,64.6,330,0.037,95,12.42,12,113.2,11,100.8,24,-3.4,283,1,37,3,0.925
2,Houston,B12,31.17,118.9,19,87.7,2,63.5,349,0.042,86,11.57,23,111.9,37,100.3,13,-1.02,226,1,32,5,0.8648648648648649
3,Purdue,B10,30.62,125.2,4,94.6,12,67.0,218,0.048,70,14.65,2,114.4,3,99.8,4,10.58,9,1,34,5,0.8717948717948718
4,Auburn,SEC,27.99,120.4,10,92.4,6,70.0,59,-0.08,338,9.49,60,111.9,38,102.4,72,1.47,147,4,27,8,0.7714285714285715
5,Tennessee,SEC,26.61,116.8,28,90.2,3,69.3,80,-0.026,257,13.35,8,114.6,2,101.2,40,8.97,19,2,27,9,0.75
6,Arizona,P12,26.55,120.2,11,93.7,10,72.2,16,-0.047,295,11.12,33,112.2,33,101.1,34,10.47,12,2,27,9,0.75
7,Duke,ACC,26.47,121.6,8,95.2,16,66.4,253,-0.064,322,10.07,46,111.1,59,101.1,32,-0.04,199,4,27,9,0.75
8,Iowa St.,B12,26.47,113.9,52,87.5,1,67.2,201,0.002,179,10.43,40,111.3,56,100.8,26,-7.05,345,2,29,8,0.7837837837837838
9,North Carolina,ACC,26.19,119.7,15,93.5,8,70.6,41,-0.038,281,12.17,13,112.6,22,100.5,16,6.99,35,1,29,8,0.7837837837837838
10,Illinois,B10,24.53,125.5,3,101.0,80,69.8,66,-0.004,194,11.92,17,111.8,40,99.9,7,-2.33,260,3,29,9,0.7631578947368421
11,Creighton,BE,24.22,120.9,9,96.7,24,66.8,229,-0.018,235,11.96,16,112.3,31,100.4,15,4.99,67,3,25,10,0.7142857142857143
12,Gonzaga,WCC,23.17,122.6,5,99.4,51,68.9,102,-0.051,300,5.21,96,109.3,95,104.1,100,7.7,26,5,27,8,0.7714285714285715
13,Marquette,BE,23.02,118.2,21,95.2,17,69.1,92,0.035,101,13.6,6,113.4,7,99.8,5,8.21,23,2,27,10,0.7297297297297297
14,Alabama,SEC,22.96,126.0,2,103.0,111,72.6,14,-0.001,187,14.71,1,115.1,1,100.4,14,9.46,16,4,25,12,0.6756756756756757
15,Baylor,B12,21.9,122.4,6,100.5,72,65.8,282,-0.016,227,13.44,7,112.4,28,99.0,1,3.36,93,3,24,11,0.6857142857142857
16,Michigan St.,B10,20.58,114.3,49,93.7,9,65.3,309,-0.1,354,13.03,11,114.2,5,101.1,35,4.62,74,9,20,15,0.5714285714285714
17,Wisconsin,B10,20.06,119.2,17,99.2,46,65.5,304,-0.036,273,14.04,3,113.2,9,99.2,2,6.22,44,5,22,14,0.6111111111111112
18,BYU,B12,19.96,119.8,14,99.9,60,69.2,84,-0.048,296,9.21,68,110.1,84,100.9,30,-5.67,329,6,23,11,0.6764705882352942
19,Clemson,ACC,19.44,117.7,23,98.3,35,66.4,256,-0.018,238,12.09,14,113.5,6,101.4,47,4.91,69,6,24,12,0.6666666666666666
20,Saint Mary's,WCC,19.43,114.5,46,95.0,15,62.5,357,0.008,167,3.54,103,108.5,103,104.9,125,5.2,61,5,26,8,0.7647058823529411
22,San Diego St.,MWC,19.36,113.4,62,94.0,11,66.2,267,0.008,166,11.16,31,112.8,16,101.7,61,10.56,11,5,26,11,0.7027027027027027
23,Kentucky,SEC,19.29,122.2,7,102.9,109,72.7,12,-0.04,286,8.94,76,111.4,48,102.5,79,-0.17,203,3,23,10,0.696969696969697
24,Colorado,P12,19.03,118.4,20,99.3,49,67.6,169,0.014,150,9.34,63,110.9,65,101.6,57,-1.47,241,10,26,11,0.7027027027027027
25,Texas,B12,18.77,116.5,31,97.7,30,67.4,186,-0.042,288,10.91,35,111.4,51,100.5,18,-3.13,275,7,21,13,0.6176470588235294
26,Florida,SEC,18.19,120.0,12,101.8,94,72.0,17,-0.021,246,11.0,34,112.5,25,101.5,52,2.02,128,7,24,12,0.6666666666666666
27,Kansas,B12,17.94,113.5,59,95.6,20,69.2,88,0.058,52,13.61,5,113.0,13,99.3,3,5.2,62,4,23,11,0.6764705882352942
29,New Mexico,MWC,17.8,114.4,47,96.6,23,72.8,9,-0.013,220,7.04,85,110.2,83,103.2,88,-0.5,210,11,26,10,0.7222222222222222
30,Nebraska,B10,17.55,116.2,32,98.7,43,69.0,95,0.01,161,9.39,62,110.9,64,101.6,56,-5.41,322,8,23,11,0.6764705882352942
31,Texas Tech,B12,17.32,117.4,27,100.1,65,66.8,232,0.034,102,10.24,44,111.1,58,100.9,28,-2.63,266,6,23,11,0.6764705882352942
32,Dayton,A10,17.3,117.7,24,100.4,67,64.5,334,0.007,170,6.88,86,109.3,94,102.4,74,6.97,36,7,25,8,0.7575757575757576
34,Mississippi St.,SEC,17.07,113.0,73,95.9,22,67.1,210,-0.037,278,11.36,26,112.7,20,101.3,43,0.68,168,8,21,14,0.6
35,Texas A&M,SEC,17.02,117.5,26,100.5,68,66.6,246,-0.033,268,12.06,15,112.9,14,100.9,27,5.1,64,9,21,15,0.5833333333333334
36,Colorado St.,MWC,17.02,114.0,51,97.0,27,66.1,269,-0.026,259,9.3,65,111.9,36,102.6,83,5.84,51,10,25,11,0.6944444444444444
40,Nevada,MWC,16.41,115.0,41,98.6,42,66.8,235,0.043,84,5.79,90,109.7,89,103.9,95,-1.43,239,10,26,8,0.7647058823529411
41,Northwestern,B10,16.41,115.9,35,99.5,54,64.2,338,0.015,148,10.71,37,112.4,29,101.7,62,-7.35,352,9,22,12,0.6470588235294118
42,Washington St.,P12,16.33,113.2,66,96.9,26,64.8,322,0.024,121,7.91,84,110.3,81,102.4,75,-5.27,317,7,25,10,0.7142857142857143
43,TCU,B12,16.04,114.7,43,98.7,44,69.8,64,-0.049,298,9.71,55,110.6,74,100.9,29,-8.39,357,9,21,13,0.6176470588235294
44,Boise St.,MWC,15.97,113.4,63,97.4,29,66.6,243,-0.002,191,9.55,58,111.1,61,101.5,54,8.08,24,10,22,11,0.6666666666666666
45,N.C. State,ACC,15.9,114.3,48,98.4,38,68.0,150,0.014,151,11.33,27,112.2,35,100.8,25,-4.99,313,11,26,15,0.6341463414634146
47,Florida Atlantic,Amer,15.74,117.8,22,102.1,96,68.3,133,-0.015,226,5.56,93,109.6,91,104.1,99,6.63,40,8,25,9,0.7352941176470589
51,Utah St.,MWC,14.89,116.0,34,101.1,82,68.9,99,0.128,8,6.83,87,109.8,88,103.0,86,1.78,135,8,28,7,0.8
52,Grand Canyon,WAC,14.84,112.9,74,98.1,32,68.5,126,0.023,125,0.17,157,105.2,217,105.1,130,-1.67,247,12,30,5,0.8571428571428571
53,Drake,MVC,14.53,115.1,40,100.5,73,68.0,148,0.051,62,2.95,113,108.0,109,105.0,128,-1.34,236,10,28,7,0.8
54,South Carolina,SEC,14.4,114.9,42,100.5,71,63.2,351,0.144,4,7.94,83,110.5,76,102.6,82,-5.83,332,6,26,8,0.7647058823529411
55,Oregon,P12,14.19,114.7,44,100.5,70,67.3,195,0.045,76,9.88,51,111.3,53,101.5,50,-0.11,201,11,24,12,0.6666666666666666
63,James Madison,SB,12.42,113.0,72,100.6,74,69.7,70,0.093,18,-3.41,261,104.1,276,107.5,246,-6.82,343,12,32,4,0.8888888888888888
67,McNeese St.,Slnd,11.8,113.4,64,101.5,89,65.9,277,0.032,109,-6.38,329,102.6,314,109.0,331,4.47,76,12,30,4,0.8823529411764706
68,Virginia,ACC,11.8,105.1,200,93.3,7,60.1,362,0.108,12,9.07,71,111.6,47,102.5,78,-1.09,229,10,23,11,0.6764705882352942
81,Samford,SC,10.03,113.6,57,103.6,122,72.8,8,0.11,11,-2.14,224,104.5,259,106.7,196,-5.47,324,13,29,6,0.8285714285714286
88,Duquesne,A10,9.19,107.2,158,98.0,31,66.2,264,0.079,24,5.68,91,109.7,90,104.0,98,1.51,145,11,25,12,0.6756756756756757
90,Yale,Ivy,9.07,110.9,91,101.8,93,64.9,315,0.04,91,3.07,110,108.7,100,105.6,151,5.01,66,13,23,10,0.696969696969697
