NetRtg.Rk,Team,Conf,NetRtg,ORtg,ORtg.Rk,DRtg,DRtg.Rk,AdjT,AdjT.Rk,Luck,Luck.Rk,SOS.NetRtg,SOS.NetRtg.Rk,SOS.ORtg,SOS.ORtg.Rk,SOS.DRtg,SOS.DRtg.Rk,NCSOS.NetRtg,NCSOS.NetRk,Seed,W,L,WinPct
1,Kentucky,SEC,32.59,122.2,2,89.6,7,65.4,150,0.032,86,7.99,26,106.8,35,98.8,12,-1.06,189,1,38,2,0.95
2,Ohio St.,B10,30.07,118.1,6,88.1,4,66.9,88,-0.05,287,10.1,4,108.9,3,98.8,13,-3.34,253,2,31,8,0.7948717948717948
3,Michigan St.,B10,27.87,114.7,17,86.9,2,64.3,209,-0.027,244,10.21,3,108.6,6,98.4,7,-1.07,190,1,29,8,0.7837837837837838
4,Kansas,B12,26.91,114.0,23,87.1,3,66.3,111,0.027,101,11.15,1,108.8,4,97.6,1,5.21,38,2,32,7,0.8205128205128205
5,Syracuse,BE,26.04,117.7,7,91.7,16,64.4,202,0.06,37,7.98,27,107.0,29,99.0,19,-2.11,216,1,34,3,0.918918918918919
6,North Carolina,ACC,25.44,116.1,12,90.7,11,70.9,10,0.016,134,7.41,30,107.2,27,99.8,40,1.89,100,1,32,6,0.8421052631578947
7,Missouri,B12,25.28,125.1,1,99.8,111,65.4,152,0.017,130,5.8,51,105.7,60,99.9,44,-6.18,315,2,30,5,0.8571428571428571
8,Wisconsin,B10,24.09,113.7,25,89.6,8,57.5,345,-0.018,216,8.8,9,107.6,15,98.8,11,-3.88,262,4,26,10,0.7222222222222222
9,Indiana,B10,22.55,120.2,4,97.6,72,66.7,92,0.007,155,8.41,15,107.4,19,99.0,16,-4.96,295,4,27,9,0.75
10,Florida,SEC,22.47,120.4,3,98.0,80,64.2,210,-0.043,270,7.18,34,105.4,65,98.2,3,-1.67,204,7,26,11,0.7027027027027027
