NetRtg.Rk,Team,Conf,NetRtg,ORtg,ORtg.Rk,DRtg,DRtg.Rk,AdjT,AdjT.Rk,Luck,Luck.Rk,SOS.NetRtg,SOS.NetRtg.Rk,SOS.ORtg,SOS.ORtg.Rk,SOS.DRtg,SOS.DRtg.Rk,NCSOS.NetRtg,NCSOS.NetRk,Seed,W,L,WinPct
1,Duke,ACC,33.29,121.0,1,87.7,5,64.7,229,0.009,145,11.53,4,107.9,19,96.4,1,2.5,94,1,35,5,0.875
2,Kansas,B12,31.85,120.4,2,88.5,8,67.2,105,0.038,83,9.53,16,108.2,16,98.7,32,1.13,125,1,33,3,0.9166666666666666
3,Syracuse,BE,27.62,118.5,6,90.9,14,68.7,59,-0.008,191,8.62,36,108.5,10,99.8,67,-2.96,246,1,30,5,0.8571428571428571
4,Kentucky,SEC,26.54,114.9,22,88.3,6,68.3,66,0.06,43,7.06,55,106.5,50,99.5,57,-1.28,194,1,35,3,0.9210526315789473
5,West Virginia,BE,25.54,117.2,12,91.7,21,62.6,296,0.057,45,12.58,1,110.0,1,97.5,7,5.45,50,2,31,7,0.8157894736842105
6,Kansas St.,B12,25.52,116.1,15,90.6,12,69.4,36,-0.008,192,11.99,2,109.5,2,97.5,10,2.37,96,2,29,8,0.7837837837837838
7,Ohio St.,B10,24.99,117.5,8,92.5,26,64.6,232,0.007,152,7.88,49,106.3,60,98.4,26,-2.92,243,2,29,8,0.7837837837837838
8,Baylor,B12,24.95,119.2,5,94.3,43,64.5,235,-0.021,234,10.59,8,108.3,13,97.7,14,-2.79,237,3,28,8,0.7777777777777778
9,Wisconsin,B10,23.56,115.2,20,91.6,19,59.2,339,-0.013,202,8.69,33,107.9,18,99.2,49,1.01,128,4,24,9,0.7272727272727273
10,BYU,MWC,23.27,117.3,10,94.0,37,71.1,15,0.012,130,3.88,98,104.9,96,101.0,99,-0.03,148,7,30,6,0.8333333333333334
11,Georgetown,BE,22.64,116.8,13,94.2,42,65.8,182,-0.035,266,11.55,3,109.0,4,97.4,6,3.35,79,3,23,11,0.6764705882352942
12,Butler,Horz,22.45,111.0,49,88.5,7,63.0,286,0.032,91,6.85,60,106.7,45,99.9,68,11.11,4,5,33,5,0.868421052631579
13,Maryland,ACC,22.37,118.3,7,95.9,57,68.7,53,-0.023,241,8.87,28,106.7,46,97.8,15,-4.35,276,4,24,9,0.7272727272727273
14,California,P10,22.15,119.6,3,97.4,76,67.1,107,-0.043,282,9.03,25,106.5,53,97.5,8,8.46,16,8,24,11,0.6857142857142857
15,Purdue,B10,22.05,109.8,65,87.7,4,66.2,161,0.07,33,8.81,30,107.8,21,99.0,45,-1.26,193,4,29,6,0.8285714285714286
16,Texas A&M,B12,21.33,112.6,37,91.2,17,64.3,243,-0.005,182,11.51,5,109.4,3,97.9,16,0.15,141,5,24,10,0.7058823529411765
17,Villanova,BE,21.24,117.2,11,96.0,59,71.2,12,0.025,103,10.03,12,108.7,7,98.7,33,-0.91,171,2,25,8,0.7575757575757576
18,Xavier,A10,20.87,115.5,18,94.6,47,68.9,47,0.01,139,8.04,46,106.2,64,98.2,19,7.27,30,6,26,9,0.7428571428571429
19,Texas,B12,20.75,113.9,24,93.1,30,71.5,11,-0.014,209,9.01,27,107.2,35,98.2,18,-1.32,195,8,24,10,0.7058823529411765
20,Michigan St.,B10,20.13,112.8,33,92.7,27,65.3,203,0.027,96,9.03,24,107.5,26,98.5,29,-0.94,173,5,28,9,0.7567567567567568
