ID,Round,Team1,Team2,Team1 Score,Team2 Score,Winner
1,1,Duke,Siena,71,65,Duke
2,1,Ohio St.,TCU,64,66,TCU
3,1,St. John's,Northern Iowa,79,53,St. John's
4,1,Kansas,Cal Baptist,68,60,Kansas
5,1,Louisville,South Florida,83,79,Louisville
6,1,Michigan St.,North Dakota St.,92,67,Michigan St.
7,1,UCLA,UCF,75,71,UCLA
8,1,Connecticut,Furman,82,71,Connecticut
9,1,Florida,Prairie View A&M,114,55,Florida
10,1,Clemson,Iowa,61,67,Iowa
11,1,Vanderbilt,McNeese,78,68,Vanderbilt
12,1,Nebraska,Troy,76,47,Nebraska
13,1,North Carolina,VCU,78,82,VCU
14,1,Illinois,Penn,105,70,Illinois
15,1,Saint Mary's,Texas A&M,50,63,Texas A&M
16,1,Houston,Idaho,78,47,Houston
17,1,Arizona,LIU,92,58,Arizona
18,1,Villanova,Utah St.,76,86,Utah St.
19,1,Wisconsin,High Point,82,83,High Point
20,1,Arkansas,Hawaii,97,78,Arkansas
21,1,BYU,Texas,71,79,Texas
22,1,Gonzaga,Kennesaw St.,73,64,Gonzaga
23,1,Miami FL,Missouri,80,66,Miami FL
24,1,Purdue,Queens,104,71,Purdue
25,1,Michigan,Howard,101,80,Michigan
26,1,Georgia,Saint Louis,77,102,Saint Louis
27,1,Texas Tech,Akron,91,71,Texas Tech
28,1,Alabama,Hofstra,90,70,Alabama
29,1,Tennessee,Miami OH,78,56,Tennessee
30,1,Virginia,Wright St.,82,73,Virginia
31,1,Kentucky,Santa Clara,89,84,Kentucky
32,1,Iowa St.,Tennessee St.,108,74,Iowa St.
33,2,Duke,TCU,81,58,Duke
34,2,St. John's,Kansas,67,65,St. John's
35,2,Louisville,Michigan St.,69,77,Michigan St.
36,2,UCLA,Connecticut,57,73,Connecticut
37,2,Florida,Iowa,72,73,Iowa
38,2,Vanderbilt,Nebraska,72,74,Nebraska
39,2,VCU,Illinois,55,76,Illinois
40,2,Texas A&M,Houston,57,88,Houston
41,2,Arizona,Utah St.,78,66,Arizona
42,2,High Point,Arkansas,88,94,Arkansas
43,2,Texas,Gonzaga,74,68,Texas
44,2,Miami FL,Purdue,69,79,Purdue
45,2,Michigan,Saint Louis,95,72,Michigan
46,2,Texas Tech,Alabama,65,90,Alabama
47,2,Tennessee,Virginia,79,72,Tennessee
48,2,Kentucky,Iowa St.,63,82,Iowa St.
49,3,Duke,St. John's,,,
50,3,Michigan St.,Connecticut,,,
51,3,Iowa,Nebraska,,,
52,3,Illinois,Houston,,,
53,3,Arizona,Arkansas,,,
54,3,Texas,Purdue,,,
55,3,Michigan,Alabama,,,
56,3,Tennessee,Iowa St.,,,
